"MYCARNUMBER","MYCARTYPE","MYCARMODEL","MYLOCATIONX","MYLOCATIONY","PROBLEMCODE"
"6300","F","COUPE","43","8","4"
"1203","F","CNVTBL","20","16","1"
"5899","F","CNVTBL","15","42","3"
"2590","F","COUPE","1","35","3"
"6286","F","CNVTBL","10","9","4"
"4138","F","COUPE","4","29","4"
"2059","F","SEDAN","47","33","1"
"114","F","CNVTBL","45","25","3"
"4187","F","COUPE","39","48","3"
"3133","F","CNVTBL","2","13","3"
"5418","F","SUV","37","32","1"
"939","F","COUPE","33","8","4"
"5880","F","CNVTBL","31","14","4"
"8624","F","SUV","3","16","4"
"4878","F","HB","21","39","3"
"369","F","COUPE","19","8","3"
"1240","F","HB","49","24","1"
"9373","F","SUV","35","9","4"
"1600","F","CNVTBL","48","49","3"
"2491","F","SUV","40","38","4"
"1531","F","CNVTBL","0","49","4"
"9187","F","HB","17","37","3"
"5991","F","COUPE","7","15","4"
"1732","S","SPORTS","4","13","3"
"943","F","SUV","30","17","4"
"7993","F","SUV","0","33","3"
"1239","F","SUV","8","25","4"
"2198","F","SEDAN","32","47","4"
"6043","F","SUV","39","44","1"
"7726","F","SPORTS","18","26","1"
"821","F","HB","32","41","1"
"6711","F","CNVTBL","44","24","4"
"9917","F","HB","32","5","3"
"6569","F","HB","6","44","3"
"4630","F","CNVTBL","3","9","3"
"6830","F","HB","21","33","3"
"9259","F","HB","20","41","3"
"9813","F","CNVTBL","8","1","4"
"8239","F","HB","25","47","4"
