"MYCARNUMBER","MYCARTYPE","MYCARMODEL","MYLOCATIONX","MYLOCATIONY","PROBLEMCODE"
"1431","F","CNVTBL","24","7","2"
"2059","F","SEDAN","47","33","1"
"4557","F","SPORTS","4","48","1"
"114","F","CNVTBL","45","25","3"
"8051","S","COUPE","0","35","2"
"4187","F","COUPE","39","48","3"
"3133","F","CNVTBL","2","13","3"
"8768","S","SUV","46","8","1"
"5418","F","SUV","37","32","1"
"2497","F","HB","30","6","1"
"682","F","SPORTS","1","41","1"
"939","F","COUPE","33","8","4"
"5880","F","CNVTBL","31","14","4"
"2560","F","SUV","23","8","1"
"7795","F","SPORTS","34","38","2"
"8624","F","SUV","3","16","4"
"7083","F","SPORTS","15","14","1"
"370","F","SPORTS","5","18","1"
"7167","F","SUV","15","46","5"
"9990","F","SPORTS","41","22","2"
"9558","F","SPORTS","28","18","5"
"7085","F","SEDAN","31","21","2"
"4878","F","HB","21","39","3"
"8320","F","COUPE","1","37","1"
"369","F","COUPE","19","8","3"
"4132","F","CNVTBL","42","26","2"
"9565","F","COUPE","22","18","1"
"1240","F","HB","49","24","1"
"1741","F","SPORTS","25","16","1"
"7311","F","SUV","23","4","2"
"9373","F","SUV","35","9","4"
"3554","F","CNVTBL","47","36","5"
"2899","F","COUPE","45","25","5"
"1600","F","CNVTBL","48","49","3"
"9772","F","SUV","30","20","1"
"463","F","SEDAN","3","5","2"
"3804","F","HB","3","12","5"
"9290","F","CNVTBL","40","33","2"
"6286","F","CNVTBL","10","9","4"
"3823","F","SEDAN","12","28","1"
"5279","F","HB","44","33","1"
"3318","F","HB","49","45","5"
"2491","F","SUV","40","38","4"
"9065","F","SEDAN","15","8","1"
"2387","F","SEDAN","16","28","5"
"5208","F","COUPE","33","35","2"
"5807","F","SUV","0","22","5"
"1531","F","CNVTBL","0","49","4"
"2211","F","CNVTBL","18","25","1"
"9187","F","HB","17","37","3"
"7849","F","SUV","22","1","1"
"8266","F","CNVTBL","12","14","5"
"7530","F","HB","32","24","1"
"8103","F","CNVTBL","27","39","1"
"5991","F","COUPE","7","15","4"
"1732","S","SPORTS","4","13","3"
"943","F","SUV","30","17","4"
"309","F","CNVTBL","19","20","2"
"7993","F","SUV","0","33","3"
"8448","F","CNVTBL","15","31","1"
"1239","F","SUV","8","25","4"
"5953","F","COUPE","13","46","5"
"2238","F","CNVTBL","33","8","2"
"2198","F","SEDAN","32","47","4"
"3178","F","SUV","21","49","1"
"6043","F","SUV","39","44","1"
"7726","F","SPORTS","18","26","1"
"3508","F","CNVTBL","44","40","5"
"821","F","HB","32","41","1"
"6639","F","SUV","34","49","5"
"6711","F","CNVTBL","44","24","4"
"7841","F","SUV","8","15","2"
"4382","F","SUV","2","29","2"
"9917","F","HB","32","5","3"
"8049","F","CNVTBL","48","31","5"
"6569","F","HB","6","44","3"
"4630","F","CNVTBL","3","9","3"
"6830","F","HB","21","33","3"
"161","F","SUV","31","21","1"
"9259","F","HB","20","41","3"
"9813","F","CNVTBL","8","1","4"
"2945","F","COUPE","39","45","1"
"8239","F","HB","25","47","4"
"7072","F","HB","39","47","1"
"6300","F","COUPE","43","8","4"
"1203","F","CNVTBL","20","16","1"
"7827","F","COUPE","40","43","1"
"4782","F","SEDAN","7","9","1"
"5899","F","CNVTBL","15","42","3"
"6050","F","SEDAN","35","28","5"
"2590","F","COUPE","1","35","3"
"2844","F","SPORTS","0","9","1"
"10","F","COUPE","11","9","1"
"738","F","SUV","9","10","1"
"6496","F","HB","12","34","1"
"6795","F","SUV","4","1","1"
"4138","F","COUPE","4","29","4"
"5163","F","HB","32","7","1"
"9979","F","SUV","35","5","1"
"6397","F","SPORTS","25","49","2"
