"MYCARNUMBER","MYCARTYPE","MYCARMODEL","MYLOCATIONX","MYLOCATIONY","PROBLEMCODE","ASSIGNEDCARNO","ASSIGNEDTYPE","ASSIGNEDMODEL","ASSIGNEDHASFUEL","ASSIGNEDSTEPNEY","ASSIGNEDTIMEAWAY"
"9558","F","SPORTS","28","18","5","1096","S","HB","36","1","1.7205"
"4782","F","SEDAN","7","9","1","3555","S","COUPE","81","1","5.2362"
"6050","F","SEDAN","35","28","5","8828","S","HB","73","1","4.1803"
"2899","F","COUPE","45","25","5","1672","S","HB","34","1","16.939"
"10","F","COUPE","11","9","1","2456","S","COUPE","86","1","2.9739"
"6496","F","HB","12","34","1","3811","S","HB","99","1",".13007"
"3023","F","SUV","32","4","1","4367","S","CNVTBL","90","1","24.626"
"5984","F","CNVTBL","39","28","2","3652","S","SUV","87","1","1.0439"
"2889","F","SUV","18","12","2","8256","S","SPORTS","92","1","41.663"
"5250","F","SPORTS","13","24","5","7881","F","CNVTBL","8","1","48.988"
"6650","F","SUV","17","35","2","4552","S","SPORTS","66","1","12.03"
"465","F","CNVTBL","49","0","1","6202","S","COUPE","87","1","4.4167"
"4681","F","SEDAN","40","7","1","5299","S","COUPE","92","1","25.673"
"1431","F","CNVTBL","24","7","2","8171","S","CNVTBL","1","1","1.6556"
"8051","S","COUPE","0","35","2","5266","S","CNVTBL","90","1","5.8474"
"7795","F","SPORTS","34","38","2","6015","S","SPORTS","2","1","5.3051"
"370","F","SPORTS","5","18","1","6417","S","SPORTS","88","1","9.2516"
"7167","F","SUV","15","46","5","8885","S","CNVTBL","44","1","2.7134"
"1110","S","SEDAN","0","18","1","3710","S","SPORTS","99","1","1.081"
"5435","F","COUPE","25","49","2","9644","S","SPORTS","54","1","6.675"
"7280","F","CNVTBL","4","17","5","2982","S","SUV","17","1","2.1407"
"2224","F","CNVTBL","31","18","5","6217","S","HB","42","1","3.0388"
"2051","F","COUPE","18","32","1","1721","S","COUPE","89","1","29.996"
"1139","F","SEDAN","45","38","5","7441","S","COUPE","42","1","15.736"
"5497","F","HB","14","3","1","5085","S","HB","87","1","32.109"
"9516","F","COUPE","6","47","5","9955","S","SUV","94","1","18.891"
"7085","F","SEDAN","31","21","2","871","S","SPORTS","30","1","5.4717"
"1741","F","SPORTS","25","16","1","235","S","SPORTS","81","1","7.4288"
"3554","F","CNVTBL","47","36","5","8447","S","SPORTS","93","1","1.3082"
"463","F","SEDAN","3","5","2","6760","S","COUPE","11","1","4.0121"
"3804","F","HB","3","12","5","9278","S","SUV","49","1","7.424"
"9290","F","CNVTBL","40","33","2","620","S","SUV","27","1","27.133"
"3318","F","HB","49","45","5","6870","S","COUPE","80","1","7.4946"
"9458","F","COUPE","45","27","5","3881","S","SUV","41","1","7.6727"
"3417","F","SPORTS","37","32","2","2909","S","COUPE","58","1","5.1446"
"4042","F","COUPE","32","14","5","9132","S","CNVTBL","53","1",".93165"
"5701","F","HB","0","11","5","3180","S","COUPE","74","1","1.295"
"8070","F","HB","18","26","2","1895","S","SUV","99","1","11.757"
"3479","F","COUPE","9","25","2","2713","S","SEDAN","97","1","7.0179"
"2056","F","CNVTBL","8","37","5","3056","S","CNVTBL","40","1","2.758"
"9282","F","COUPE","27","47","5","5273","S","HB","12","1","6.379"
"1367","F","COUPE","41","35","1","6278","S","CNVTBL","91","1","24.408"
"4136","F","COUPE","17","4","5","9847","S","SUV","10","1","35.406"
"7424","F","SEDAN","45","18","5","2453","S","CNVTBL","8","1",".81357"
"6560","S","COUPE","15","0","5","855","S","HB","52","1","7.6581"
"8410","F","CNVTBL","23","5","5","9714","S","HB","70","1","4.5099"
"2566","F","SPORTS","37","9","5","4780","S","SUV","58","1","1.0571"
"2785","F","COUPE","4","20","5","8442","S","SUV","59","1","3.0718"
"2387","F","SEDAN","16","28","5","9314","S","CNVTBL","29","1","19.548"
