"MYCARNUMBER","MYCARTYPE","MYCARMODEL","MYLOCATIONX","MYLOCATIONY","PROBLEMCODE","ASSIGNEDCARNO","ASSIGNEDTYPE","ASSIGNEDMODEL","ASSIGNEDHASFUEL","ASSIGNEDSTEPNEY","ASSIGNEDTIMEAWAY"
"7827","F","COUPE","40","43","1","1933","F","SUV","94","0","2.4255"
"9565","F","COUPE","22","18","1","5759","F","SUV","89","1","9.5699"
"2844","F","SPORTS","0","9","1","5051","F","SEDAN","92","0","11.249"
"738","F","SUV","9","10","1","2155","F","SPORTS","91","0","5.5578"
"6795","F","SUV","4","1","1","3734","F","SEDAN","96","1","28.882"
"5163","F","HB","32","7","1","1768","F","SUV","90","0","1.7306"
"9979","F","SUV","35","5","1","6973","F","SEDAN","95","1","14.121"
"6397","F","SPORTS","25","49","2","9036","F","SPORTS","82","1","19.245"
"9871","F","SPORTS","31","48","2","7950","F","SPORTS","91","1","6.7364"
"6876","F","SEDAN","15","37","1","7905","F","SPORTS","86","1","31.902"
"9566","F","SPORTS","33","38","1","1480","F","SEDAN","90","1","47.027"
"6136","F","CNVTBL","36","29","1","9996","F","HB","97","1","45.739"
"9269","F","SUV","45","35","1","2844","F","COUPE","86","1","27.398"
"7171","F","SEDAN","18","44","1","6113","F","SPORTS","95","0","28.169"
"9340","F","SUV","36","14","1","1365","F","HB","86","0","26.576"
"1764","F","SEDAN","36","48","1","4789","F","HB","85","1","5.7912"
"3466","F","CNVTBL","37","7","1","5302","F","SEDAN","95","1","3.9615"
"3752","F","SEDAN","36","8","2","6450","F","SEDAN","4","1","29.808"
"3787","F","CNVTBL","7","25","1","3876","F","SUV","99","1","45.966"
"6836","F","CNVTBL","40","49","1","7877","F","CNVTBL","91","1","47.415"
"4172","F","SPORTS","20","38","2","6111","F","SPORTS","13","1","29.453"
"267","F","COUPE","7","38","2","9170","F","COUPE","39","1","21.4"
"2475","F","SUV","17","4","2","9480","F","SUV","81","1","47.714"
"9631","F","SPORTS","15","34","1","2115","F","CNVTBL","99","1","16.398"
"9504","F","SPORTS","8","21","1","7682","F","SEDAN","92","1",".046045"
"5597","F","HB","15","28","1","2791","F","SPORTS","90","1","14.898"
"4609","F","SEDAN","38","20","1","2592","F","HB","88","0","7.2819"
"1711","F","SUV","38","15","1","4013","F","SPORTS","83","1","27.947"
"6923","F","CNVTBL","39","36","1","5380","F","SEDAN","81","1","44.963"
"4471","F","SPORTS","0","32","1","6880","F","COUPE","91","1","9.1218"
"2826","F","SPORTS","15","32","1","7572","F","SEDAN","81","1","25.764"
"1767","F","COUPE","11","18","2","2992","F","COUPE","30","1","10.521"
"7653","F","SUV","41","42","1","8977","F","CNVTBL","89","1","39.508"
"5833","S","SPORTS","10","22","1","2583","F","CNVTBL","92","1","8.7928"
"4557","F","SPORTS","4","48","1","7297","F","SUV","99","1","12.799"
"8768","S","SUV","46","8","1","4850","F","SPORTS","85","1","31.571"
"2497","F","HB","30","6","1","9286","F","SEDAN","89","1","28.275"
"682","F","SPORTS","1","41","1","6064","F","HB","84","1","27.943"
"2560","F","SUV","23","8","1","507","F","SUV","98","0","14.756"
"7083","F","SPORTS","15","14","1","5861","F","HB","87","1","38.524"
"9990","F","SPORTS","41","22","2","2097","F","SPORTS","84","1","12.902"
"4389","F","SEDAN","42","38","1","1122","F","SUV","89","0","14.263"
"9653","F","CNVTBL","14","30","1","8271","F","CNVTBL","94","0","27.752"
"3850","F","SEDAN","34","6","1","6113","F","SUV","98","1","4.9461"
"249","F","SUV","27","44","1","684","F","SUV","82","0","35.03"
"5735","F","SPORTS","34","35","2","9627","F","SPORTS","5","1","45.343"
"5816","F","COUPE","24","23","1","8526","F","SUV","92","0","24.858"
"6912","F","CNVTBL","28","7","2","8732","F","CNVTBL","33","1","47.061"
"8433","F","COUPE","15","25","1","127","F","SPORTS","97","1","16.36"
"405","F","SEDAN","35","10","1","3996","F","CNVTBL","85","1","19.851"
"4264","F","CNVTBL","37","28","2","1421","F","CNVTBL","64","1","43.517"
"41","F","CNVTBL","26","17","1","1464","F","COUPE","93","0","4.3497"
