"MYCARNUMBER","MYCARTYPE","MYCARMODEL","MYLOCATIONX","MYLOCATIONY","PROBLEMCODE"
"6300","F","COUPE","43","8","4"
"1203","F","CNVTBL","20","16","1"
"5899","F","CNVTBL","15","42","3"
"2590","F","COUPE","1","35","3"
"6286","F","CNVTBL","10","9","4"
"4138","F","COUPE","4","29","4"
"5431","F","CNVTBL","39","45","3"
"7561","F","HB","40","44","3"
"4490","F","COUPE","33","38","4"
"2327","F","SEDAN","5","43","3"
"3209","F","SPORTS","7","6","4"
"3338","F","COUPE","30","6","4"
"7746","F","HB","5","20","3"
"2939","F","SEDAN","7","23","4"
"1131","F","COUPE","29","35","4"
"3775","F","SPORTS","3","33","1"
"2147","F","HB","28","38","3"
"8796","F","CNVTBL","47","2","3"
"9623","F","HB","37","35","3"
"2059","F","SEDAN","47","33","1"
"114","F","CNVTBL","45","25","3"
"4187","F","COUPE","39","48","3"
"3133","F","CNVTBL","2","13","3"
"5418","F","SUV","37","32","1"
"939","F","COUPE","33","8","4"
"5880","F","CNVTBL","31","14","4"
"8624","F","SUV","3","16","4"
"6629","F","HB","4","32","4"
"87","F","SUV","43","32","4"
"8607","F","COUPE","0","0","3"
"7150","F","SUV","22","47","4"
"2928","F","HB","26","20","3"
"6285","F","SEDAN","49","9","3"
"4444","F","HB","15","14","4"
"5243","F","SEDAN","39","46","4"
"8002","F","SEDAN","37","43","3"
"3657","F","COUPE","45","34","3"
"2319","F","SEDAN","14","17","3"
"8334","F","SUV","14","15","4"
"8151","F","CNVTBL","37","12","3"
"3210","F","CNVTBL","20","39","4"
"5714","F","SPORTS","34","2","3"
"5029","F","SPORTS","18","23","3"
"5763","F","SPORTS","26","31","3"
"3701","F","SEDAN","42","30","1"
"8511","F","SEDAN","48","36","3"
"4582","F","CNVTBL","39","5","3"
"3585","F","CNVTBL","37","28","3"
"1437","F","HB","47","42","4"
"9823","F","SEDAN","1","38","3"
"3782","F","HB","39","10","4"
"2699","F","SPORTS","43","6","3"
"7812","F","COUPE","9","13","3"
"142","F","CNVTBL","1","40","4"
"3966","F","COUPE","28","15","4"
"1566","F","CNVTBL","0","15","4"
"2425","F","SUV","19","42","3"
"510","F","CNVTBL","8","21","4"
"9031","S","COUPE","48","37","4"
"4878","F","HB","21","39","3"
"369","F","COUPE","19","8","3"
"1240","F","HB","49","24","1"
"9373","F","SUV","35","9","4"
"1600","F","CNVTBL","48","49","3"
"2491","F","SUV","40","38","4"
"1943","F","SUV","23","35","1"
"679","F","SUV","11","42","3"
"3434","F","HB","49","29","3"
"398","F","SEDAN","27","44","1"
"6446","F","COUPE","39","22","4"
"480","F","SUV","48","36","3"
"4580","F","COUPE","27","36","4"
"4353","F","SEDAN","24","42","4"
"4454","F","HB","39","25","4"
"7342","F","SPORTS","35","36","4"
"2137","F","HB","14","32","3"
"7159","F","COUPE","36","8","4"
"2735","F","COUPE","19","35","4"
"4975","F","SEDAN","14","1","4"
"1759","F","COUPE","32","44","3"
"6898","F","COUPE","5","13","3"
"3792","F","SPORTS","14","7","4"
"1156","F","SUV","28","34","1"
"134","F","SEDAN","1","44","3"
"9809","F","HB","41","33","3"
"4440","F","CNVTBL","28","45","3"
"5441","F","CNVTBL","13","11","3"
"1531","F","CNVTBL","0","49","4"
"9187","F","HB","17","37","3"
"5991","F","COUPE","7","15","4"
"1732","S","SPORTS","4","13","3"
"943","F","SUV","30","17","4"
"7993","F","SUV","0","33","3"
"1239","F","SUV","8","25","4"
"2198","F","SEDAN","32","47","4"
"926","F","SPORTS","24","9","4"
"7246","F","CNVTBL","47","27","3"
"3556","F","CNVTBL","35","31","4"
"5638","F","SPORTS","38","8","3"
"4324","F","CNVTBL","9","32","3"
"3377","F","SEDAN","4","23","3"
"9629","F","COUPE","36","40","3"
"1860","F","CNVTBL","1","21","4"
"736","F","SUV","49","2","4"
"6736","F","SUV","21","29","4"
"8579","F","HB","16","38","3"
"3260","F","HB","13","46","3"
"8767","F","SPORTS","25","26","4"
"5626","F","CNVTBL","26","14","4"
"6761","F","COUPE","9","33","3"
"8563","F","SEDAN","31","16","4"
"5212","F","SPORTS","40","31","4"
"6614","F","CNVTBL","30","11","3"
"4355","F","SPORTS","0","38","3"
"2844","F","SUV","28","1","4"
"9255","F","SPORTS","34","28","4"
"2338","F","COUPE","33","18","4"
"4258","F","CNVTBL","26","11","1"
"8940","F","SPORTS","46","3","3"
"4848","F","CNVTBL","28","44","4"
"5082","F","SPORTS","32","7","3"
"4974","F","SPORTS","25","39","3"
"6043","F","SUV","39","44","1"
"7726","F","SPORTS","18","26","1"
"821","F","HB","32","41","1"
"6711","F","CNVTBL","44","24","4"
"9917","F","HB","32","5","3"
"6569","F","HB","6","44","3"
"4630","F","CNVTBL","3","9","3"
"6830","F","HB","21","33","3"
"9259","F","HB","20","41","3"
"9813","F","CNVTBL","8","1","4"
"8239","F","HB","25","47","4"
"1909","F","COUPE","9","18","4"
"9790","F","SPORTS","29","27","4"
"7133","F","CNVTBL","35","47","1"
"6771","F","COUPE","19","40","1"
"9014","F","SUV","0","32","4"
"5436","F","SUV","34","35","4"
"7710","F","SPORTS","36","12","1"
"4323","F","SPORTS","2","15","3"
"1464","F","COUPE","40","15","4"
"423","F","HB","43","7","3"
"728","F","SUV","13","24","3"
"8394","F","SPORTS","48","32","3"
"7467","F","COUPE","38","47","3"
"2930","F","SEDAN","32","27","4"
"5110","F","COUPE","13","26","3"
"9844","F","HB","35","26","2"
"7148","F","SUV","17","16","3"
"7149","F","SPORTS","7","9","3"
