"MYCARNUMBER","MYCARTYPE","MYCARMODEL","MYLOCATIONX","MYLOCATIONY","PROBLEMCODE"
"1431","F","CNVTBL","24","7","2"
"2059","F","SEDAN","47","33","1"
"4557","F","SPORTS","4","48","1"
"114","F","CNVTBL","45","25","3"
"8051","S","COUPE","0","35","2"
"4187","F","COUPE","39","48","3"
"3133","F","CNVTBL","2","13","3"
"8768","S","SUV","46","8","1"
"5418","F","SUV","37","32","1"
"2497","F","HB","30","6","1"
"682","F","SPORTS","1","41","1"
"939","F","COUPE","33","8","4"
"5880","F","CNVTBL","31","14","4"
"2560","F","SUV","23","8","1"
"7795","F","SPORTS","34","38","2"
"8624","F","SUV","3","16","4"
"7083","F","SPORTS","15","14","1"
"370","F","SPORTS","5","18","1"
"7167","F","SUV","15","46","5"
"9990","F","SPORTS","41","22","2"
"4389","F","SEDAN","42","38","1"
"6629","F","HB","4","32","4"
"87","F","SUV","43","32","4"
"1110","S","SEDAN","0","18","1"
"9653","F","CNVTBL","14","30","1"
"8607","F","COUPE","0","0","3"
"3850","F","SEDAN","34","6","1"
"7150","F","SUV","22","47","4"
"2928","F","HB","26","20","3"
"6285","F","SEDAN","49","9","3"
"4444","F","HB","15","14","4"
"5243","F","SEDAN","39","46","4"
"8002","F","SEDAN","37","43","3"
"3657","F","COUPE","45","34","3"
"249","F","SUV","27","44","1"
"5435","F","COUPE","25","49","2"
"7280","F","CNVTBL","4","17","5"
"2319","F","SEDAN","14","17","3"
"2224","F","CNVTBL","31","18","5"
"5735","F","SPORTS","34","35","2"
"8334","F","SUV","14","15","4"
"8151","F","CNVTBL","37","12","3"
"3210","F","CNVTBL","20","39","4"
"5714","F","SPORTS","34","2","3"
"5816","F","COUPE","24","23","1"
"6912","F","CNVTBL","28","7","2"
"2051","F","COUPE","18","32","1"
"5029","F","SPORTS","18","23","3"
"5763","F","SPORTS","26","31","3"
"1139","F","SEDAN","45","38","5"
"8433","F","COUPE","15","25","1"
"3701","F","SEDAN","42","30","1"
"8511","F","SEDAN","48","36","3"
"405","F","SEDAN","35","10","1"
"5497","F","HB","14","3","1"
"4582","F","CNVTBL","39","5","3"
"9516","F","COUPE","6","47","5"
"3585","F","CNVTBL","37","28","3"
"1437","F","HB","47","42","4"
"9823","F","SEDAN","1","38","3"
"4264","F","CNVTBL","37","28","2"
"41","F","CNVTBL","26","17","1"
"3782","F","HB","39","10","4"
"9847","F","CNVTBL","49","22","5"
"1302","F","SEDAN","39","23","5"
"9225","S","COUPE","10","30","2"
"2699","F","SPORTS","43","6","3"
"2606","F","SEDAN","21","31","2"
"7812","F","COUPE","9","13","3"
"4838","F","CNVTBL","2","49","2"
"142","F","CNVTBL","1","40","4"
"879","F","COUPE","24","14","5"
"3966","F","COUPE","28","15","4"
"4771","S","SPORTS","14","23","5"
"1566","F","CNVTBL","0","15","4"
"2425","F","SUV","19","42","3"
"510","F","CNVTBL","8","21","4"
"3887","F","CNVTBL","30","47","1"
"2274","F","COUPE","45","7","1"
"9031","S","COUPE","48","37","4"
"9558","F","SPORTS","28","18","5"
"7085","F","SEDAN","31","21","2"
"4878","F","HB","21","39","3"
"8320","F","COUPE","1","37","1"
"369","F","COUPE","19","8","3"
"4132","F","CNVTBL","42","26","2"
"9565","F","COUPE","22","18","1"
"1240","F","HB","49","24","1"
"1741","F","SPORTS","25","16","1"
"7311","F","SUV","23","4","2"
"9373","F","SUV","35","9","4"
"3554","F","CNVTBL","47","36","5"
"2899","F","COUPE","45","25","5"
"1600","F","CNVTBL","48","49","3"
"9772","F","SUV","30","20","1"
"463","F","SEDAN","3","5","2"
"3804","F","HB","3","12","5"
"9290","F","CNVTBL","40","33","2"
"6286","F","CNVTBL","10","9","4"
"3823","F","SEDAN","12","28","1"
"5279","F","HB","44","33","1"
"3318","F","HB","49","45","5"
"2491","F","SUV","40","38","4"
"9065","F","SEDAN","15","8","1"
"9850","F","COUPE","2","14","1"
"9458","F","COUPE","45","27","5"
"2202","F","SUV","45","2","1"
"3417","F","SPORTS","37","32","2"
"4042","F","COUPE","32","14","5"
"5701","F","HB","0","11","5"
"695","F","SPORTS","25","28","1"
"1943","F","SUV","23","35","1"
"9323","F","SUV","21","21","1"
"8070","F","HB","18","26","2"
"3479","F","COUPE","9","25","2"
"2056","F","CNVTBL","8","37","5"
"5821","F","SUV","35","7","5"
"679","F","SUV","11","42","3"
