"MYCARNUMBER","MYCARTYPE","MYCARMODEL","MYLOCATIONX","MYLOCATIONY","PROBLEMCODE"
"2978","F","SEDAN","36","13","3"
"2573","F","SEDAN","43","32","3"
"8170","F","SUV","35","1","4"
"9964","F","SEDAN","49","28","4"
"1584","F","SUV","18","4","3"
"6610","F","SUV","37","30","1"
"3139","F","CNVTBL","4","34","1"
"8090","F","CNVTBL","22","19","1"
"7951","F","CNVTBL","31","7","3"
"5736","F","SUV","46","14","4"
"6037","F","COUPE","40","11","3"
"5189","F","HB","21","45","4"
"8138","F","COUPE","46","11","5"
"8397","F","HB","22","10","1"
"2961","F","CNVTBL","25","20","3"
"8600","F","SPORTS","39","4","2"
"5335","F","CNVTBL","43","28","5"
"3644","F","CNVTBL","5","11","5"
"6060","F","HB","18","48","3"
"6046","F","HB","3","48","5"
"3849","F","CNVTBL","2","39","3"
"2273","F","SEDAN","17","31","3"
"1322","F","CNVTBL","10","11","4"
"4418","F","COUPE","44","39","1"
"7829","S","SEDAN","13","18","3"
"7539","F","SUV","17","46","3"
"8879","F","COUPE","46","44","3"
"3096","F","SUV","33","31","5"
"9072","F","SPORTS","39","15","1"
"6364","F","CNVTBL","19","13","4"
"561","F","COUPE","35","46","3"
"5123","F","COUPE","15","45","1"
"8721","S","SUV","27","12","3"
"5963","F","HB","17","3","3"
"3647","F","SPORTS","46","5","1"
"5908","F","SPORTS","46","15","3"
"8712","F","COUPE","10","36","3"
"6320","F","SPORTS","10","14","1"
"3878","F","SEDAN","24","18","4"
"2512","F","SEDAN","26","38","4"
"8083","F","CNVTBL","37","32","3"
"9292","F","SUV","15","18","3"
"5056","F","CNVTBL","49","47","3"
"594","F","SUV","14","13","5"
"7692","F","COUPE","47","46","1"
"6020","F","SEDAN","5","44","1"
"4860","F","COUPE","6","40","1"
"1285","F","COUPE","3","42","4"
"2865","F","SEDAN","10","13","3"
"510","F","SUV","17","42","4"
"3043","F","HB","29","24","1"
"9543","F","COUPE","6","0","4"
