"MYCARNUMBER","MYCARTYPE","MYCARMODEL","MYLOCATIONX","MYLOCATIONY","PROBLEMCODE","ASSIGNEDCARNO","ASSIGNEDTYPE","ASSIGNEDMODEL","ASSIGNEDHASFUEL","ASSIGNEDSTEPNEY","ASSIGNEDTIMEAWAY"
"5011","F","COUPE","35","37","2","357","S","SEDAN","71","1","27.872"
"9257","F","HB","17","44","2","6713","S","CNVTBL","84","1","1.4868"
"7660","F","CNVTBL","8","14","5","1872","S","SPORTS","58","1","46.597"
"9041","F","HB","6","22","1","6317","S","SEDAN","85","1","19.965"
"8222","F","SPORTS","22","47","5","1054","S","CNVTBL","3","1",".037302"
"1189","F","HB","14","18","5","8860","S","SPORTS","3","1","6.0273"
"5725","F","SPORTS","22","4","2","1699","S","HB","77","1","6.2599"
"5334","F","COUPE","44","43","2","1431","S","HB","18","1","48.901"
"2689","F","SEDAN","4","28","2","4725","S","SEDAN","85","1","32.341"
"2773","F","SPORTS","7","10","1","672","S","HB","93","1","9.2423"
"7642","F","CNVTBL","20","21","2","5041","S","SPORTS","86","1","41.787"
"3772","F","SPORTS","42","3","5","5145","S","COUPE","9","1","1.0274"
"831","F","HB","29","42","5","6553","S","SPORTS","64","1","12.17"
"2774","F","SPORTS","18","35","5","948","S","SEDAN","92","1","2.2215"
"3249","F","CNVTBL","29","6","5","1568","S","SEDAN","67","1","8.302"
"3964","F","SPORTS","45","33","5","9286","S","SUV","65","1","2.1337"
"3643","F","CNVTBL","3","22","2","2693","S","HB","82","1","8.8127"
"5208","F","HB","15","47","5","89","S","CNVTBL","23","1","11.229"
"4430","F","SEDAN","6","27","2","678","S","SUV","14","1","20.583"
