"MYCARNUMBER","MYCARTYPE","MYCARMODEL","MYLOCATIONX","MYLOCATIONY","PROBLEMCODE","ASSIGNEDCARNO","ASSIGNEDTYPE","ASSIGNEDMODEL","ASSIGNEDHASFUEL","ASSIGNEDSTEPNEY","ASSIGNEDTIMEAWAY"
"8666","F","SEDAN","44","23","2","6581","F","SEDAN","34","1","31.931"
"7331","F","COUPE","24","19","2","1604","F","COUPE","27","1","31.003"
"1388","F","SUV","25","46","1","7144","F","SEDAN","91","0","45.198"
"2410","F","HB","28","42","1","5103","F","SUV","96","1","13.636"
"1500","F","HB","23","47","1","4296","F","CNVTBL","82","0","33.668"
"4897","F","CNVTBL","7","26","2","9856","F","CNVTBL","74","1","32.494"
"2128","F","SPORTS","10","4","1","5929","F","SPORTS","99","1",".38243"
"4238","F","SEDAN","2","47","1","5281","F","HB","92","1","4.952"
"4081","F","SUV","10","30","1","5233","F","COUPE","96","1","30.293"
"586","F","CNVTBL","13","30","1","2350","F","COUPE","88","1","36.728"
"1851","F","SPORTS","25","2","1","8643","F","SUV","83","1","16.394"
"7803","F","COUPE","18","20","1","730","F","SPORTS","97","1","25.578"
"3732","F","COUPE","1","40","1","3434","F","CNVTBL","87","0","38.9"
"1641","F","SPORTS","26","38","2","7904","F","SPORTS","92","1","30.11"
"3755","F","CNVTBL","28","46","2","2595","F","CNVTBL","3","1","4.3091"
"6303","F","SPORTS","33","17","2","6206","F","SPORTS","73","1","29.266"
"942","F","SUV","18","12","1","8518","F","COUPE","83","1","1.1401"
"5967","F","CNVTBL","43","5","1","4881","F","HB","85","1","29.538"
"3854","F","COUPE","11","1","1","794","F","CNVTBL","91","1","12.448"
"1334","F","CNVTBL","20","42","1","828","F","SPORTS","83","1","33.116"
"2006","F","SPORTS","18","4","1","7318","F","SEDAN","86","1","38.664"
"4674","F","CNVTBL","12","2","1","644","F","CNVTBL","95","1","13.535"
"8605","F","COUPE","38","5","1","5028","F","SEDAN","89","1","9.2623"
"3947","F","CNVTBL","47","39","1","2949","F","COUPE","94","0","43.214"
"3993","F","SEDAN","3","48","1","8675","F","SEDAN","89","1","18.59"
"1397","F","SPORTS","6","12","1","8101","F","SPORTS","92","0","22"
"8113","F","SUV","13","2","1","176","F","SEDAN","83","1","2.4518"
"562","F","COUPE","13","1","1","8766","F","CNVTBL","99","0","19.811"
"9191","F","COUPE","31","32","1","4865","F","SPORTS","92","1","40.237"
"6336","F","HB","30","16","2","5719","F","HB","62","1","26.687"
"9975","S","SEDAN","48","24","2","9798","F","SEDAN","77","1","8.1201"
"659","S","HB","31","39","1","4468","F","COUPE","92","1","25.571"
"8353","F","COUPE","16","25","1","4182","F","SEDAN","92","1","8.5305"
"8131","F","CNVTBL","27","23","1","7142","F","HB","94","1","7.2984"
"5966","F","SPORTS","8","4","1","3630","F","CNVTBL","83","1","9.4025"
"5043","F","HB","15","47","2","6254","F","HB","41","1","46.827"
"4715","F","SEDAN","11","35","1","4016","F","SUV","83","1","46.627"
"5393","F","CNVTBL","49","12","1","5294","F","SUV","88","1","18.495"
"6280","F","SEDAN","7","9","2","7862","F","SEDAN","14","1","28.491"
"8040","F","COUPE","28","30","1","4110","F","SPORTS","89","1","23.33"
"1423","F","SPORTS","0","5","1","9704","F","SPORTS","81","0","9.5848"
"1474","F","SEDAN","25","38","1","4031","F","COUPE","91","1","29.72"
"1367","F","SEDAN","36","33","1","5745","F","HB","97","1","35.695"
"6214","F","SEDAN","18","16","2","3773","F","SEDAN","35","1","13.748"
"3600","S","SPORTS","24","34","1","8261","F","SPORTS","87","0","18.221"
"9622","F","SUV","14","4","2","4206","F","SUV","52","1","17.696"
"8033","F","CNVTBL","23","23","1","1705","F","SUV","90","1","20.472"
"9299","F","COUPE","32","2","1","9298","F","SPORTS","91","1","27.731"
"4987","F","SEDAN","0","35","2","8528","F","SEDAN","58","1",".57104"
"103","F","HB","9","13","1","3890","F","SUV","90","0","4.3415"
"7863","F","SEDAN","0","43","2","3516","F","SEDAN","97","1","31.208"
"8665","F","HB","38","9","1","9902","F","SEDAN","90","1","16.593"
"413","F","CNVTBL","12","47","1","4883","F","CNVTBL","95","0","6.8996"
"9128","F","CNVTBL","33","10","1","3261","F","SUV","82","0","24.449"
"3715","F","COUPE","36","10","1","2575","F","SEDAN","90","1","23.019"
"1099","F","COUPE","37","43","2","6366","F","COUPE","90","1","38.303"
"7885","F","SPORTS","6","20","1","2664","F","CNVTBL","91","1","30.777"
