"MYCARNUMBER","MYCARTYPE","MYCARMODEL","MYLOCATIONX","MYLOCATIONY","PROBLEMCODE"
"2978","F","SEDAN","36","13","3"
"2573","F","SEDAN","43","32","3"
"8170","F","SUV","35","1","4"
"9964","F","SEDAN","49","28","4"
"1584","F","SUV","18","4","3"
"6610","F","SUV","37","30","1"
"3139","F","CNVTBL","4","34","1"
"4244","F","SPORTS","33","35","3"
"4065","F","SUV","21","20","1"
"9759","F","COUPE","4","15","4"
"1469","S","CNVTBL","7","36","4"
"2131","F","CNVTBL","14","20","4"
"9719","F","SPORTS","28","20","1"
"8136","F","SPORTS","19","8","4"
"6415","F","HB","46","35","3"
"5199","F","SPORTS","9","24","3"
"5808","F","SUV","17","16","4"
"1791","F","SEDAN","20","5","3"
"5278","F","SPORTS","5","11","3"
"5864","F","HB","3","35","3"
"9157","F","SUV","9","29","2"
"4847","F","SPORTS","15","33","4"
"1911","F","SEDAN","29","14","5"
"5162","F","SEDAN","36","11","3"
"870","S","HB","27","19","4"
"4700","F","SUV","30","14","3"
"1969","F","SUV","42","47","3"
"9824","F","HB","11","6","3"
"2045","F","CNVTBL","34","22","4"
"6670","F","HB","46","49","3"
"7878","F","COUPE","7","24","3"
"459","F","CNVTBL","44","14","3"
"9037","F","SUV","37","24","3"
"6745","F","SUV","35","25","4"
"5062","F","COUPE","2","2","3"
"9157","F","SPORTS","0","0","5"
"6162","F","SEDAN","14","12","5"
"6907","F","SEDAN","13","5","2"
"2759","F","CNVTBL","45","36","3"
"9211","F","CNVTBL","35","37","3"
"8090","F","CNVTBL","22","19","1"
"7951","F","CNVTBL","31","7","3"
"5736","F","SUV","46","14","4"
"6037","F","COUPE","40","11","3"
"5189","F","HB","21","45","4"
"8138","F","COUPE","46","11","5"
"8397","F","HB","22","10","1"
"2961","F","CNVTBL","25","20","3"
"8600","F","SPORTS","39","4","2"
"5335","F","CNVTBL","43","28","5"
"3644","F","CNVTBL","5","11","5"
"668","F","SEDAN","30","6","4"
"855","F","SUV","27","33","5"
"7356","F","SEDAN","42","15","4"
"2251","F","COUPE","29","24","2"
"6953","F","COUPE","48","37","1"
"6567","F","SUV","4","1","3"
"390","F","CNVTBL","44","11","3"
"9823","F","COUPE","28","16","3"
"2834","F","HB","46","6","1"
"1604","F","SPORTS","18","8","2"
"104","F","SPORTS","1","9","4"
"8439","F","CNVTBL","19","3","4"
"8983","F","SEDAN","13","30","5"
"9043","F","HB","45","35","1"
"73","F","CNVTBL","16","15","1"
"7170","F","HB","47","36","1"
"7705","F","SEDAN","0","26","3"
"7123","F","HB","27","31","1"
"3017","S","HB","31","13","1"
"1885","F","SUV","21","20","3"
"7361","F","HB","18","36","4"
"336","F","COUPE","12","28","3"
"9277","F","SUV","48","46","4"
"8795","F","COUPE","14","0","4"
"901","F","SUV","6","0","3"
"2914","F","CNVTBL","48","15","1"
"3110","F","SPORTS","28","29","3"
"8688","F","HB","4","13","4"
"6060","F","HB","18","48","3"
"6046","F","HB","3","48","5"
"3849","F","CNVTBL","2","39","3"
"2273","F","SEDAN","17","31","3"
"1322","F","CNVTBL","10","11","4"
"4418","F","COUPE","44","39","1"
"7829","S","SEDAN","13","18","3"
"7539","F","SUV","17","46","3"
"8879","F","COUPE","46","44","3"
"3096","F","SUV","33","31","5"
"9072","F","SPORTS","39","15","1"
"6364","F","CNVTBL","19","13","4"
"1300","F","SUV","26","16","5"
"328","F","SEDAN","4","22","3"
"3325","F","SPORTS","42","30","4"
"3512","S","COUPE","23","15","5"
"8088","F","CNVTBL","28","38","3"
"9184","F","COUPE","5","15","3"
"6634","F","CNVTBL","13","8","4"
"9614","F","CNVTBL","38","38","1"
"9078","F","SEDAN","8","29","4"
"808","F","HB","3","0","4"
"9470","F","CNVTBL","20","23","1"
"7866","F","HB","28","3","3"
"7601","F","SPORTS","49","8","5"
"2680","F","SUV","46","13","4"
"4429","F","HB","6","16","5"
"9671","F","SEDAN","16","34","4"
"7166","F","SEDAN","43","1","1"
"6185","F","HB","38","11","1"
"8295","F","COUPE","40","0","1"
"6362","S","SUV","35","11","1"
"7946","F","SPORTS","23","48","3"
"1224","F","COUPE","9","0","4"
"9002","F","COUPE","35","26","4"
"656","F","COUPE","38","33","1"
"720","F","HB","1","38","3"
"2592","F","SPORTS","0","47","3"
"561","F","COUPE","35","46","3"
"5123","F","COUPE","15","45","1"
"8721","S","SUV","27","12","3"
"5963","F","HB","17","3","3"
"3647","F","SPORTS","46","5","1"
"5908","F","SPORTS","46","15","3"
"8712","F","COUPE","10","36","3"
"6320","F","SPORTS","10","14","1"
"3878","F","SEDAN","24","18","4"
"2512","F","SEDAN","26","38","4"
"8083","F","CNVTBL","37","32","3"
"9292","F","SUV","15","18","3"
"9648","F","SEDAN","46","24","4"
"7717","F","SEDAN","43","23","4"
"8364","F","SEDAN","11","40","4"
"8725","F","SUV","21","4","4"
"3833","F","SUV","48","31","4"
"6236","F","SEDAN","34","16","4"
"8617","F","CNVTBL","10","16","3"
"7716","F","SPORTS","17","17","4"
"8087","F","HB","6","25","1"
"8555","F","SEDAN","11","37","4"
"6786","F","COUPE","48","47","5"
"2783","S","CNVTBL","29","13","5"
"3627","F","HB","18","10","4"
"4091","F","COUPE","40","45","3"
"128","F","CNVTBL","18","21","1"
"5322","F","SPORTS","21","13","4"
"4993","F","CNVTBL","41","41","1"
"3530","F","CNVTBL","1","8","3"
"8188","F","SEDAN","43","45","4"
"8142","F","SUV","36","18","4"
"9247","F","SEDAN","9","43","4"
"9237","F","COUPE","9","26","1"
"819","F","CNVTBL","40","11","2"
"9496","F","CNVTBL","39","24","3"
"379","F","CNVTBL","8","41","4"
"7268","F","COUPE","20","29","3"
"2000","F","COUPE","43","18","4"
"6","F","SPORTS","9","2","4"
"8982","F","COUPE","40","24","1"
"8569","F","CNVTBL","2","8","4"
"752","F","SPORTS","43","13","4"
"5056","F","CNVTBL","49","47","3"
"594","F","SUV","14","13","5"
"7692","F","COUPE","47","46","1"
"6020","F","SEDAN","5","44","1"
"4860","F","COUPE","6","40","1"
"1285","F","COUPE","3","42","4"
"2865","F","SEDAN","10","13","3"
"510","F","SUV","17","42","4"
"3043","F","HB","29","24","1"
"9543","F","COUPE","6","0","4"
"4968","F","COUPE","25","15","3"
"7413","F","HB","36","14","1"
"4222","F","COUPE","7","30","4"
"3672","F","CNVTBL","35","4","4"
"4403","F","SPORTS","32","40","2"
"9847","F","CNVTBL","35","9","3"
"2069","F","CNVTBL","46","25","2"
"7029","F","CNVTBL","45","41","4"
"46","F","COUPE","45","12","3"
"3101","S","SUV","39","17","3"
"4438","S","CNVTBL","32","39","3"
"376","S","COUPE","41","1","1"
"1964","F","SPORTS","10","27","4"
"5354","F","CNVTBL","31","38","1"
"9345","F","SUV","13","44","3"
"598","F","HB","25","48","1"
"8908","F","SEDAN","45","27","4"
"8920","F","CNVTBL","13","33","3"
"7542","F","COUPE","38","34","3"
"5958","F","SUV","6","43","4"
"7506","F","COUPE","20","16","4"
"4437","F","CNVTBL","3","5","4"
"1048","F","CNVTBL","18","3","3"
"3122","F","SEDAN","28","45","3"
