"MYCARNUMBER","MYCARTYPE","MYCARMODEL","MYLOCATIONX","MYLOCATIONY","PROBLEMCODE"
"561","F","COUPE","35","46","3"
"8222","F","SPORTS","22","47","5"
"8090","F","CNVTBL","22","19","1"
"3732","F","COUPE","1","40","1"
"5725","F","SPORTS","22","4","2"
"7951","F","CNVTBL","31","7","3"
"5966","F","SPORTS","8","4","1"
"1641","F","SPORTS","26","38","2"
"5736","F","SUV","46","14","4"
"5334","F","COUPE","44","43","2"
"5189","F","HB","21","45","4"
"2689","F","SEDAN","4","28","2"
"8138","F","COUPE","46","11","5"
"3755","F","CNVTBL","28","46","2"
"2773","F","SPORTS","7","10","1"
"8397","F","HB","22","10","1"
"2961","F","CNVTBL","25","20","3"
"7642","F","CNVTBL","20","21","2"
"8600","F","SPORTS","39","4","2"
"5335","F","CNVTBL","43","28","5"
"3644","F","CNVTBL","5","11","5"
"6303","F","SPORTS","33","17","2"
"942","F","SUV","18","12","1"
"668","F","SEDAN","30","6","4"
"5967","F","CNVTBL","43","5","1"
"3854","F","COUPE","11","1","1"
"1935","F","COUPE","47","45","1"
"1334","F","CNVTBL","20","42","1"
"2006","F","SPORTS","18","4","1"
"3516","F","SUV","14","6","5"
"4674","F","CNVTBL","12","2","1"
"8605","F","COUPE","38","5","1"
"855","F","SUV","27","33","5"
"7356","F","SEDAN","42","15","4"
"2251","F","COUPE","29","24","2"
"4444","F","SUV","0","43","2"
"6953","F","COUPE","48","37","1"
"6567","F","SUV","4","1","3"
"3947","F","CNVTBL","47","39","1"
"390","F","CNVTBL","44","11","3"
"2037","F","SUV","27","7","5"
"9823","F","COUPE","28","16","3"
"2752","F","SUV","13","5","2"
"2834","F","HB","46","6","1"
"1604","F","SPORTS","18","8","2"
"3934","F","CNVTBL","37","37","2"
"6029","F","SPORTS","11","21","1"
"4817","F","HB","36","17","1"
"75","F","SEDAN","43","8","1"
"104","F","SPORTS","1","9","4"
"9122","F","SUV","34","47","5"
"5985","F","COUPE","3","16","1"
"6212","F","CNVTBL","9","14","1"
"2450","F","CNVTBL","37","41","5"
"8439","F","CNVTBL","19","3","4"
"178","F","SPORTS","18","19","1"
"5781","F","SPORTS","41","0","1"
"3054","F","SUV","10","12","1"
"8983","F","SEDAN","13","30","5"
"9043","F","HB","45","35","1"
"6034","F","CNVTBL","37","9","1"
"73","F","CNVTBL","16","15","1"
"4833","F","SPORTS","39","4","5"
"9247","F","SEDAN","9","43","4"
"7170","F","HB","47","36","1"
"7573","F","HB","46","19","2"
"7705","F","SEDAN","0","26","3"
"7123","F","HB","27","31","1"
"3017","S","HB","31","13","1"
"6671","F","HB","7","9","1"
"1885","F","SUV","21","20","3"
"2882","F","SEDAN","30","13","1"
"7361","F","HB","18","36","4"
"2243","F","HB","15","38","1"
"336","F","COUPE","12","28","3"
"1751","F","SPORTS","31","9","1"
"9277","F","SUV","48","46","4"
"4582","F","COUPE","32","18","5"
"9556","F","SEDAN","7","8","1"
"8795","F","COUPE","14","0","4"
"6649","F","COUPE","12","40","5"
"2383","F","SEDAN","33","29","5"
"901","F","SUV","6","0","3"
"2914","F","CNVTBL","48","15","1"
"3110","F","SPORTS","28","29","3"
"8688","F","HB","4","13","4"
"5442","F","CNVTBL","19","30","5"
"6060","F","HB","18","48","3"
"6046","F","HB","3","48","5"
"3849","F","CNVTBL","2","39","3"
"2273","F","SEDAN","17","31","3"
"1322","F","CNVTBL","10","11","4"
"3993","F","SEDAN","3","48","1"
"4418","F","COUPE","44","39","1"
"7829","S","SEDAN","13","18","3"
"7539","F","SUV","17","46","3"
"8879","F","COUPE","46","44","3"
"1397","F","SPORTS","6","12","1"
"8113","F","SUV","13","2","1"
"3772","F","SPORTS","42","3","5"
"562","F","COUPE","13","1","1"
"3096","F","SUV","33","31","5"
"9191","F","COUPE","31","32","1"
"9072","F","SPORTS","39","15","1"
"6364","F","CNVTBL","19","13","4"
"1300","F","SUV","26","16","5"
"6336","F","HB","30","16","2"
"9975","S","SEDAN","48","24","2"
"328","F","SEDAN","4","22","3"
"3368","F","COUPE","3","2","1"
"3325","F","SPORTS","42","30","4"
"3512","S","COUPE","23","15","5"
"6636","F","SEDAN","0","36","5"
"8088","F","CNVTBL","28","38","3"
"659","S","HB","31","39","1"
"9184","F","COUPE","5","15","3"
"8353","F","COUPE","16","25","1"
"6634","F","CNVTBL","13","8","4"
"9614","F","CNVTBL","38","38","1"
"9078","F","SEDAN","8","29","4"
"808","F","HB","3","0","4"
"8131","F","CNVTBL","27","23","1"
"9470","F","CNVTBL","20","23","1"
"7866","F","HB","28","3","3"
"7601","F","SPORTS","49","8","5"
"6624","F","SPORTS","43","8","1"
"2064","F","COUPE","3","33","5"
"2680","F","SUV","46","13","4"
"4429","F","HB","6","16","5"
"9671","F","SEDAN","16","34","4"
"7166","F","SEDAN","43","1","1"
"1226","F","SUV","48","5","1"
"6185","F","HB","38","11","1"
"8295","F","COUPE","40","0","1"
"5976","F","SEDAN","47","41","5"
"6362","S","SUV","35","11","1"
"5832","F","HB","45","12","5"
"9","F","SEDAN","12","30","1"
"3464","S","SUV","41","0","1"
"7180","F","SEDAN","7","26","1"
"7946","F","SPORTS","23","48","3"
"5712","F","COUPE","46","25","5"
"6441","S","CNVTBL","29","14","1"
"1224","F","COUPE","9","0","4"
"4571","F","CNVTBL","39","44","1"
"9802","F","SEDAN","44","11","5"
"219","F","HB","31","48","1"
"267","F","HB","26","20","2"
"7149","F","HB","34","37","2"
"7158","F","HB","2","45","5"
"7645","F","CNVTBL","16","32","2"
"9002","F","COUPE","35","26","4"
"2686","F","SUV","42","49","5"
"656","F","COUPE","38","33","1"
"720","F","HB","1","38","3"
"2799","S","COUPE","49","2","1"
"9718","F","HB","47","9","1"
"559","F","SEDAN","12","26","2"
"2592","F","SPORTS","0","47","3"
"3856","S","SUV","5","43","2"
"5123","F","COUPE","15","45","1"
"8721","S","SUV","27","12","3"
"5963","F","HB","17","3","3"
"3647","F","SPORTS","46","5","1"
"5908","F","SPORTS","46","15","3"
"8712","F","COUPE","10","36","3"
"831","F","HB","29","42","5"
"5043","F","HB","15","47","2"
"2774","F","SPORTS","18","35","5"
"4715","F","SEDAN","11","35","1"
"5393","F","CNVTBL","49","12","1"
"6280","F","SEDAN","7","9","2"
"6320","F","SPORTS","10","14","1"
"8040","F","COUPE","28","30","1"
"3878","F","SEDAN","24","18","4"
"3249","F","CNVTBL","29","6","5"
"3964","F","SPORTS","45","33","5"
"2512","F","SEDAN","26","38","4"
"8083","F","CNVTBL","37","32","3"
"3643","F","CNVTBL","3","22","2"
"9292","F","SUV","15","18","3"
"1423","F","SPORTS","0","5","1"
"7538","F","COUPE","33","13","5"
"7175","F","SUV","35","15","5"
"9648","F","SEDAN","46","24","4"
"7717","F","SEDAN","43","23","4"
"8364","F","SEDAN","11","40","4"
"5978","F","HB","25","2","1"
"8725","F","SUV","21","4","4"
"1474","F","SEDAN","25","38","1"
"3833","F","SUV","48","31","4"
"6236","F","SEDAN","34","16","4"
"147","F","SUV","2","47","2"
"6040","F","SPORTS","31","48","2"
"8617","F","CNVTBL","10","16","3"
"7716","F","SPORTS","17","17","4"
"8087","F","HB","6","25","1"
"1367","F","SEDAN","36","33","1"
"8555","F","SEDAN","11","37","4"
"6214","F","SEDAN","18","16","2"
"5679","F","COUPE","1","44","1"
"7695","F","HB","2","21","1"
"2022","F","SEDAN","36","46","1"
"2994","F","CNVTBL","32","21","2"
"4586","F","COUPE","43","47","2"
"3492","F","COUPE","12","13","1"
"6786","F","COUPE","48","47","5"
"2783","S","CNVTBL","29","13","5"
"8946","F","COUPE","49","5","1"
"3627","F","HB","18","10","4"
"8742","F","SPORTS","30","4","5"
"4091","F","COUPE","40","45","3"
"9693","F","SEDAN","8","14","5"
"2707","F","COUPE","31","22","5"
"128","F","CNVTBL","18","21","1"
"5928","F","COUPE","9","4","5"
"5322","F","SPORTS","21","13","4"
"4993","F","CNVTBL","41","41","1"
"6451","F","SEDAN","2","38","2"
"3530","F","CNVTBL","1","8","3"
"88","F","SUV","46","18","1"
"8188","F","SEDAN","43","45","4"
"8142","F","SUV","36","18","4"
"9237","F","COUPE","9","26","1"
"819","F","CNVTBL","40","11","2"
"9496","F","CNVTBL","39","24","3"
"9527","F","SEDAN","2","17","1"
"7111","F","CNVTBL","25","26","5"
"7412","F","SEDAN","16","47","2"
"4335","F","CNVTBL","46","35","5"
"379","F","CNVTBL","8","41","4"
"9119","F","COUPE","3","25","1"
"7268","F","COUPE","20","29","3"
"2000","F","COUPE","43","18","4"
"6","F","SPORTS","9","2","4"
"9045","F","SPORTS","31","27","5"
"8982","F","COUPE","40","24","1"
"8569","F","CNVTBL","2","8","4"
"3760","F","SPORTS","15","15","5"
"6888","F","CNVTBL","39","37","2"
"3607","F","SPORTS","30","4","1"
"752","F","SPORTS","43","13","4"
"6889","F","COUPE","1","40","2"
"2619","F","COUPE","24","42","5"
"1778","F","SUV","39","13","2"
"398","F","HB","39","38","5"
"5406","S","HB","10","16","5"
"3600","S","SPORTS","24","34","1"
"9622","F","SUV","14","4","2"
"8033","F","CNVTBL","23","23","1"
"5056","F","CNVTBL","49","47","3"
"9299","F","COUPE","32","2","1"
"5208","F","HB","15","47","5"
"594","F","SUV","14","13","5"
"4987","F","SEDAN","0","35","2"
"2410","F","HB","28","42","1"
"4430","F","SEDAN","6","27","2"
"7692","F","COUPE","47","46","1"
"6020","F","SEDAN","5","44","1"
"4860","F","COUPE","6","40","1"
"1285","F","COUPE","3","42","4"
"4897","F","CNVTBL","7","26","2"
"2865","F","SEDAN","10","13","3"
"103","F","HB","9","13","1"
"510","F","SUV","17","42","4"
"3043","F","HB","29","24","1"
"9543","F","COUPE","6","0","4"
"4238","F","SEDAN","2","47","1"
"7863","F","SEDAN","0","43","2"
"4968","F","COUPE","25","15","3"
"8665","F","HB","38","9","1"
"7413","F","HB","36","14","1"
"413","F","CNVTBL","12","47","1"
"5918","F","COUPE","29","33","1"
"9128","F","CNVTBL","33","10","1"
"4222","F","COUPE","7","30","4"
"6866","F","SUV","37","25","5"
"6977","F","SEDAN","33","8","5"
"3715","F","COUPE","36","10","1"
"2785","F","SUV","40","6","5"
"3672","F","CNVTBL","35","4","4"
"4403","F","SPORTS","32","40","2"
"9847","F","CNVTBL","35","9","3"
"2069","F","CNVTBL","46","25","2"
"7029","F","CNVTBL","45","41","4"
"2131","F","CNVTBL","14","20","4"
