"MYCARNUMBER","MYCARTYPE","MYCARMODEL","MYLOCATIONX","MYLOCATIONY","PROBLEMCODE","ASSIGNEDCARNO","ASSIGNEDTYPE","ASSIGNEDMODEL","ASSIGNEDHASFUEL","ASSIGNEDSTEPNEY","ASSIGNEDTIMEAWAY"
"5011","F","COUPE","35","37","2","357","S","SEDAN","71","1","27.872"
"9257","F","HB","17","44","2","6713","S","CNVTBL","84","1","1.4868"
"7660","F","CNVTBL","8","14","5","1872","S","SPORTS","58","1","46.597"
"9041","F","HB","6","22","1","6317","S","SEDAN","85","1","19.965"
"5680","F","SPORTS","24","25","2","3890","S","SUV","69","1","33.745"
"1926","S","SPORTS","38","17","2","9912","S","SEDAN","79","1","12.414"
"5918","F","COUPE","29","33","1","4631","S","CNVTBL","93","1","37.767"
"2441","F","HB","34","39","5","4991","S","SUV","69","1","7.5068"
"121","F","COUPE","16","44","5","2377","S","SPORTS","38","1",".4247"
"2785","F","SUV","40","6","5","4943","S","COUPE","13","1","27.138"
"2915","F","SEDAN","44","40","1","1477","S","SEDAN","81","1","25.746"
"2547","F","SEDAN","49","9","5","2753","S","SUV","62","1",".99309"
"2518","F","CNVTBL","41","43","1","1022","S","HB","99","1","7.3925"
"8170","F","COUPE","20","14","2","7814","S","SPORTS","91","1","5.4404"
"2261","F","COUPE","24","19","5","6388","S","SEDAN","2","1","4.9424"
"2179","S","SUV","45","24","5","6165","S","SUV","36","1","12.732"
"6229","F","CNVTBL","29","27","5","1408","S","CNVTBL","77","1","8.6371"
"2518","F","HB","6","36","5","591","S","HB","54","1","25.544"
"5401","F","COUPE","48","47","2","689","S","CNVTBL","47","1","17.149"
"8222","F","SPORTS","22","47","5","1054","S","CNVTBL","3","1",".037302"
"1189","F","HB","14","18","5","8860","S","SPORTS","3","1","6.0273"
"5725","F","SPORTS","22","4","2","1699","S","HB","77","1","6.2599"
"5334","F","COUPE","44","43","2","1431","S","HB","18","1","48.901"
"2689","F","SEDAN","4","28","2","4725","S","SEDAN","85","1","32.341"
"2773","F","SPORTS","7","10","1","672","S","HB","93","1","9.2423"
"7642","F","CNVTBL","20","21","2","5041","S","SPORTS","86","1","41.787"
"1935","F","COUPE","47","45","1","8255","S","SPORTS","92","1","6.4544"
"3516","F","SUV","14","6","5","8570","S","SPORTS","43","1","3.3502"
"4444","F","SUV","0","43","2","7668","S","CNVTBL","23","1","9.2671"
"2037","F","SUV","27","7","5","3624","S","SUV","12","1","25.374"
"9122","F","SUV","34","47","5","5192","S","SEDAN","75","1","14.19"
"2450","F","CNVTBL","37","41","5","1356","S","HB","82","1","12.559"
"4833","F","SPORTS","39","4","5","4689","S","COUPE","77","1","13.822"
"4582","F","COUPE","32","18","5","5284","S","SPORTS","40","1","14.582"
