"MYCARNUMBER","MYCARTYPE","MYCARMODEL","MYLOCATIONX","MYLOCATIONY","PROBLEMCODE"
"2610","F","COUPE","34","12","1"
"5611","F","SEDAN","16","40","2"
"1147","F","SUV","1","48","2"
"8897","F","CNVTBL","20","29","2"
"5820","F","CNVTBL","33","26","1"
"8018","F","CNVTBL","46","6","1"
"5560","S","HB","4","14","4"
"3225","F","COUPE","11","19","2"
"4965","F","HB","19","47","5"
"238","F","SUV","49","45","1"
"2787","F","COUPE","41","31","5"
"6095","F","HB","37","15","1"
"6944","F","HB","40","27","1"
"4303","F","CNVTBL","13","16","3"
"9866","F","SEDAN","7","20","2"
"5161","F","CNVTBL","46","23","1"
"4580","F","CNVTBL","44","15","5"
"8882","F","HB","5","28","4"
"6085","F","SEDAN","34","0","4"
"3653","F","CNVTBL","41","39","2"
"1404","F","COUPE","18","31","1"
"4050","F","SEDAN","35","36","4"
"5962","F","SUV","26","16","2"
"9993","F","CNVTBL","26","5","1"
"1495","F","CNVTBL","3","1","3"
"1667","S","COUPE","25","40","4"
"1179","F","SPORTS","21","12","1"
"4716","F","HB","38","4","5"
"7729","F","SUV","48","7","1"
"4179","F","SUV","23","28","1"
"8026","F","HB","5","4","4"
"5898","F","SUV","37","5","1"
"8386","F","CNVTBL","8","35","1"
"6827","F","SEDAN","40","12","4"
"1445","F","SUV","20","34","4"
"517","F","CNVTBL","17","26","3"
"3232","S","CNVTBL","24","3","5"
"4541","F","CNVTBL","5","34","1"
"6271","F","SUV","41","10","5"
"315","F","CNVTBL","25","47","1"
"3689","F","HB","23","7","1"
"1596","F","SEDAN","21","43","2"
"6122","S","SEDAN","33","17","4"
"3838","F","CNVTBL","24","15","1"
"4673","F","SEDAN","0","32","3"
"2354","F","COUPE","28","35","2"
"6054","F","HB","41","1","1"
"13","F","HB","6","19","2"
"1958","F","COUPE","9","5","4"
"1279","F","SEDAN","45","14","5"
"9551","F","SEDAN","30","11","4"
"4976","F","SPORTS","26","2","1"
"2046","F","SEDAN","43","15","1"
"3500","F","COUPE","46","15","2"
"3511","F","SUV","5","24","5"
"6091","F","SPORTS","5","25","5"
"6234","F","CNVTBL","46","30","3"
"7853","F","SEDAN","23","43","2"
"580","F","SPORTS","20","41","2"
"2193","F","HB","28","15","1"
"7323","F","CNVTBL","44","5","2"
"1424","F","COUPE","25","4","4"
"7310","F","SUV","42","42","3"
"5187","F","SUV","23","28","1"
"2713","F","SUV","35","2","2"
"2409","F","SPORTS","31","13","1"
"5131","F","HB","47","31","3"
"5713","F","SUV","43","14","2"
"3920","F","SEDAN","45","27","5"
"4671","F","COUPE","22","21","4"
"2703","F","HB","1","6","5"
"1885","F","SUV","30","39","3"
"8935","F","SUV","44","40","5"
"4311","F","CNVTBL","45","48","3"
"1539","F","SPORTS","36","32","3"
"3575","F","SPORTS","0","45","5"
"811","F","SUV","42","48","5"
"3324","F","SUV","21","21","5"
"9874","F","CNVTBL","28","36","1"
"6534","F","SPORTS","26","16","2"
"1955","F","SPORTS","4","48","5"
"9078","F","COUPE","8","49","1"
"5683","F","SEDAN","28","4","1"
"9306","F","SUV","44","12","1"
"9164","F","SEDAN","32","20","1"
"4155","F","SUV","35","31","4"
"6180","F","CNVTBL","8","3","1"
"5620","F","SPORTS","25","1","1"
"66","F","COUPE","31","39","2"
"7783","F","CNVTBL","45","9","2"
"8621","F","COUPE","2","16","1"
"3078","F","SUV","6","36","3"
"3230","F","SUV","20","23","4"
"7400","F","CNVTBL","1","1","1"
"9474","F","SUV","6","8","2"
"8420","F","SUV","10","13","3"
"7491","F","SEDAN","9","28","1"
"8312","F","SPORTS","34","41","1"
"4909","F","SUV","14","15","3"
"7846","F","SUV","10","13","4"
