"MYCARNUMBER","MYCARTYPE","MYCARMODEL","MYLOCATIONX","MYLOCATIONY","PROBLEMCODE","ASSIGNEDCARNO","ASSIGNEDTYPE","ASSIGNEDMODEL","ASSIGNEDHASFUEL","ASSIGNEDSTEPNEY","ASSIGNEDTIMEAWAY"
"66","F","COUPE","31","39","2","6654","S","CNVTBL","6","1","29.041"
"7783","F","CNVTBL","45","9","2","6161","S","SEDAN","10","1","24.481"
"7491","F","SEDAN","9","28","1","9565","S","CNVTBL","81","1","18.225"
"3225","F","COUPE","11","19","2","5622","S","SPORTS","85","1",".71961"
"4965","F","HB","19","47","5","2643","S","SEDAN","65","1","9.5071"
"2787","F","COUPE","41","31","5","9223","S","COUPE","82","1","6.7802"
"9866","F","SEDAN","7","20","2","4807","S","SEDAN","65","1","17.42"
"3653","F","CNVTBL","41","39","2","2674","S","SEDAN","56","1","17.246"
"4716","F","HB","38","4","5","2735","S","SEDAN","70","1","42.213"
"5898","F","SUV","37","5","1","4539","S","HB","87","1","21.963"
"3232","S","CNVTBL","24","3","5","6568","S","SUV","1","1",".28332"
"3689","F","HB","23","7","1","2391","S","COUPE","91","1","13.254"
"4580","F","CNVTBL","44","15","5","4608","S","COUPE","88","1","12.536"
"1279","F","SEDAN","45","14","5","7421","S","SPORTS","80","1","15.147"
"3500","F","COUPE","46","15","2","8431","S","COUPE","61","1","2.2952"
"3511","F","SUV","5","24","5","1116","S","SUV","45","1","14.514"
"6091","F","SPORTS","5","25","5","4737","S","COUPE","75","1","13.246"
"7853","F","SEDAN","23","43","2","2933","S","HB","89","1","24.412"
"6271","F","SUV","41","10","5","1352","S","SPORTS","93","1",".929"
"1596","F","SEDAN","21","43","2","8130","S","SPORTS","43","1","29.807"
"2713","F","SUV","35","2","2","8284","S","CNVTBL","4","1","1.1457"
"8935","F","SUV","44","40","5","6401","S","HB","33","1","24.799"
"3575","F","SPORTS","0","45","5","4919","S","SUV","23","1","10.649"
"811","F","SUV","42","48","5","6100","S","HB","57","1","31.275"
"3324","F","SUV","21","21","5","5868","S","SEDAN","86","1","2.0573"
"6534","F","SPORTS","26","16","2","2463","S","SEDAN","38","1","4.6964"
"1955","F","SPORTS","4","48","5","6992","S","COUPE","81","1","25.527"
"9306","F","SUV","44","12","1","4271","S","SEDAN","87","1",".75666"
