"MYCARNUMBER","MYCARTYPE","MYCARMODEL","MYLOCATIONX","MYLOCATIONY","PROBLEMCODE"
"9164","F","SEDAN","32","20","1"
"4155","F","SUV","35","31","4"
"6180","F","CNVTBL","8","3","1"
"5620","F","SPORTS","25","1","1"
"8621","F","COUPE","2","16","1"
"3078","F","SUV","6","36","3"
"3230","F","SUV","20","23","4"
"7400","F","CNVTBL","1","1","1"
"9474","F","SUV","6","8","2"
"8420","F","SUV","10","13","3"
"4909","F","SUV","14","15","3"
"7846","F","SUV","10","13","4"
"6324","F","SPORTS","46","43","3"
"4101","F","HB","24","19","1"
"5774","F","SEDAN","14","16","1"
"5600","F","CNVTBL","13","24","3"
"5515","F","SUV","34","28","3"
"74","F","CNVTBL","36","16","4"
"4021","F","SUV","39","39","3"
"6936","F","COUPE","1","19","4"
"8596","F","SPORTS","16","12","3"
"9959","F","COUPE","31","47","3"
"9659","F","SEDAN","3","0","4"
"7902","F","HB","17","47","3"
"8298","F","SEDAN","36","19","4"
"5560","S","HB","4","14","4"
"238","F","SUV","49","45","1"
"4303","F","CNVTBL","13","16","3"
"8882","F","HB","5","28","4"
"6085","F","SEDAN","34","0","4"
"69","F","SUV","34","27","4"
"2737","F","SEDAN","16","10","4"
"2795","F","HB","26","5","4"
"9797","F","SUV","39","7","3"
"1953","F","HB","43","7","4"
"2863","F","COUPE","19","32","4"
"5504","F","COUPE","43","31","3"
"6480","F","SEDAN","6","36","4"
"7565","F","CNVTBL","18","45","4"
"8950","F","HB","24","19","1"
"3970","F","SEDAN","41","42","3"
"6782","F","SEDAN","25","2","3"
"7479","F","CNVTBL","11","42","4"
"3067","F","SEDAN","27","11","4"
"1136","F","SUV","18","17","3"
"799","F","CNVTBL","10","41","3"
"3866","F","SEDAN","49","36","3"
"4050","F","SEDAN","35","36","4"
"1495","F","CNVTBL","3","1","3"
"1667","S","COUPE","25","40","4"
"7729","F","SUV","48","7","1"
"8026","F","HB","5","4","4"
"6827","F","SEDAN","40","12","4"
"1445","F","SUV","20","34","4"
"517","F","CNVTBL","17","26","3"
"4541","F","CNVTBL","5","34","1"
"6122","S","SEDAN","33","17","4"
"4673","F","SEDAN","0","32","3"
"9769","F","CNVTBL","13","3","3"
"9052","F","SPORTS","43","10","3"
"3507","F","SPORTS","11","5","1"
"6757","F","CNVTBL","43","17","4"
"4710","F","SUV","25","43","3"
"7854","F","SPORTS","35","8","1"
"6519","F","SUV","23","28","3"
"4324","F","COUPE","12","20","1"
"4163","F","COUPE","7","14","4"
"7324","F","SPORTS","33","8","3"
"5648","F","COUPE","16","32","3"
"6522","F","SPORTS","16","39","4"
"688","F","COUPE","21","28","1"
"9052","F","SPORTS","5","31","4"
"7204","F","SUV","8","7","3"
"2413","F","SUV","41","9","4"
"6696","F","COUPE","15","26","3"
"1243","F","SUV","42","24","5"
"6479","F","SUV","23","30","3"
"1404","F","COUPE","18","31","1"
"1958","F","COUPE","9","5","4"
"9551","F","SEDAN","30","11","4"
"4976","F","SPORTS","26","2","1"
"6234","F","CNVTBL","46","30","3"
"1424","F","COUPE","25","4","4"
"7310","F","SUV","42","42","3"
"5187","F","SUV","23","28","1"
"6842","F","CNVTBL","37","47","3"
"8043","F","SEDAN","31","46","4"
"325","F","SUV","14","16","4"
"5040","F","SEDAN","37","35","4"
"7265","F","SUV","2","19","3"
"7651","F","SEDAN","24","42","3"
"8802","F","HB","1","7","4"
"6177","F","COUPE","36","32","4"
"9471","F","SUV","12","42","4"
"4286","F","SUV","31","31","4"
"3758","F","COUPE","16","40","4"
"5153","F","CNVTBL","44","3","3"
"9322","F","SUV","42","29","5"
"1670","F","SPORTS","27","36","3"
"3261","F","SUV","19","43","4"
"1396","F","SEDAN","47","16","4"
"6976","F","COUPE","49","20","3"
"316","F","SPORTS","16","43","3"
"5131","F","HB","47","31","3"
"3920","F","SEDAN","45","27","5"
"4671","F","COUPE","22","21","4"
"2703","F","HB","1","6","5"
"1885","F","SUV","30","39","3"
"4311","F","CNVTBL","45","48","3"
"1539","F","SPORTS","36","32","3"
"9874","F","CNVTBL","28","36","1"
"9078","F","COUPE","8","49","1"
"4537","F","SUV","29","4","1"
"4921","F","HB","0","43","3"
"6573","F","SUV","44","0","3"
"8486","F","SPORTS","1","30","1"
"6557","F","SEDAN","23","25","3"
"2349","F","SPORTS","23","36","3"
"4084","F","CNVTBL","38","9","4"
"3716","F","SEDAN","47","43","1"
"4215","F","SPORTS","34","5","1"
"6966","F","SEDAN","3","7","4"
"2724","F","COUPE","41","29","3"
"7004","F","SPORTS","38","41","3"
"1051","F","SPORTS","13","13","1"
"1890","F","SPORTS","28","0","4"
"7274","F","HB","15","11","4"
"9946","F","SUV","45","16","1"
"7712","F","HB","22","31","4"
