"MYCARNUMBER","MYCARTYPE","MYCARMODEL","MYLOCATIONX","MYLOCATIONY","PROBLEMCODE","ASSIGNEDCARNO","ASSIGNEDTYPE","ASSIGNEDMODEL","ASSIGNEDHASFUEL","ASSIGNEDSTEPNEY","ASSIGNEDTIMEAWAY"
"8839","F","HB","37","18","1","6343","F","COUPE","95","1","11.359"
"8139","F","CNVTBL","23","8","1","4510","F","COUPE","81","1","47.751"
"2421","F","COUPE","44","15","1","7629","F","HB","92","1","49.686"
"6886","F","SEDAN","43","11","1","1438","F","SUV","97","0","22.157"
"4868","F","SEDAN","13","43","2","6646","F","SEDAN","39","1","25.761"
"5426","F","SUV","19","8","1","6140","F","SPORTS","85","1","32.566"
"8392","F","HB","5","10","2","4415","F","HB","87","1","41.628"
"9223","F","CNVTBL","10","8","1","4351","F","HB","99","1","29.181"
"7618","F","CNVTBL","24","5","1","2549","F","SPORTS","86","0","16.195"
"3756","F","HB","41","40","1","2230","F","COUPE","89","0","6.6063"
"5076","F","COUPE","13","11","1","1553","F","SUV","91","0","11.346"
"1608","F","SPORTS","15","37","2","6981","F","SPORTS","53","1",".19297"
"9637","F","SEDAN","35","38","1","5769","F","HB","95","1","33.453"
"7339","F","CNVTBL","11","14","2","3080","F","CNVTBL","59","1","17.225"
"161","F","SUV","40","44","2","4281","F","SUV","15","1","15.325"
"5188","F","CNVTBL","14","46","1","7471","F","HB","89","0","2.5866"
"8578","F","CNVTBL","20","4","1","4882","F","CNVTBL","96","0","17.088"
"6128","F","SPORTS","15","21","1","8607","F","SEDAN","92","1","12.631"
"8486","F","SUV","6","10","1","5830","F","SUV","82","1","37.477"
"7692","F","SEDAN","23","35","1","7274","F","SEDAN","97","1","33.59"
"3617","F","CNVTBL","37","47","2","5396","F","CNVTBL","15","1","11.514"
"7631","F","SUV","20","8","1","5833","F","SEDAN","95","1","14.702"
