"MYCARNUMBER","MYCARTYPE","MYCARMODEL","MYLOCATIONX","MYLOCATIONY","PROBLEMCODE"
"9628","F","COUPE","21","30","4"
"795","F","SPORTS","41","18","1"
"9063","F","CNVTBL","26","38","3"
"5745","F","HB","17","29","3"
"6380","F","SEDAN","34","36","1"
"7213","F","SUV","41","28","4"
"6244","F","COUPE","38","12","4"
"603","F","COUPE","42","28","4"
"308","S","SEDAN","25","48","1"
"5924","F","SPORTS","12","49","4"
"4702","F","CNVTBL","24","4","4"
"412","F","COUPE","39","28","5"
"1589","F","HB","19","22","4"
"7453","F","SUV","26","17","4"
"6466","F","SUV","24","18","4"
"3457","F","SUV","21","7","3"
"3546","F","CNVTBL","8","27","3"
"4266","F","COUPE","1","8","4"
"5022","F","SPORTS","37","4","4"
"2042","F","COUPE","24","2","4"
"969","F","SEDAN","39","49","3"
"1356","F","CNVTBL","29","43","1"
"3146","F","COUPE","9","49","3"
"9497","F","SUV","21","36","4"
"9128","F","HB","4","25","1"
"9264","F","COUPE","29","7","4"
"2005","F","SUV","30","0","3"
"3285","F","HB","5","7","3"
"7776","F","HB","49","39","3"
"1600","F","HB","10","32","3"
"6797","F","HB","33","23","4"
"5678","F","SEDAN","13","9","1"
"6806","F","CNVTBL","30","18","3"
"1682","F","SPORTS","37","27","1"
"5786","F","HB","35","14","3"
"3304","F","CNVTBL","31","16","3"
"1487","F","HB","36","44","4"
"9992","F","CNVTBL","14","49","3"
"7305","F","SEDAN","5","41","4"
"1576","F","CNVTBL","39","44","4"
"6988","F","SUV","29","37","1"
"7071","F","SPORTS","19","17","1"
"6907","F","COUPE","47","34","4"
"5685","F","SUV","35","36","4"
"2221","F","COUPE","36","27","3"
"4551","F","HB","0","1","1"
"831","F","SEDAN","45","33","4"
"6488","F","COUPE","41","13","3"
"9382","F","HB","14","24","1"
"6861","F","CNVTBL","43","42","1"
"6834","F","CNVTBL","13","11","3"
"3129","F","SPORTS","43","5","5"
"3713","F","HB","37","47","3"
