"MYCARNUMBER","MYCARTYPE","MYCARMODEL","MYLOCATIONX","MYLOCATIONY","PROBLEMCODE"
"3275","F","SEDAN","15","48","5"
"4702","F","CNVTBL","24","4","4"
"412","F","COUPE","39","28","5"
"1589","F","HB","19","22","4"
"1600","F","HB","10","32","3"
"116","F","COUPE","16","43","5"
"6466","F","SUV","24","18","4"
"2115","F","COUPE","42","1","5"
"3457","F","SUV","21","7","3"
"5426","F","SUV","19","8","1"
"8392","F","HB","5","10","2"
"5022","F","SPORTS","37","4","4"
"3156","F","SUV","22","26","5"
"2042","F","COUPE","24","2","4"
"7901","F","HB","24","45","5"
"1356","F","CNVTBL","29","43","1"
"254","F","COUPE","3","8","2"
"9497","F","SUV","21","36","4"
"7618","F","CNVTBL","24","5","1"
"9264","F","COUPE","29","7","4"
"3756","F","HB","41","40","1"
"9628","F","COUPE","21","30","4"
"2005","F","SUV","30","0","3"
"3285","F","HB","5","7","3"
"7776","F","HB","49","39","3"
"6797","F","HB","33","23","4"
"5678","F","SEDAN","13","9","1"
"8225","F","COUPE","21","18","5"
"6380","F","SEDAN","34","36","1"
"8219","F","SUV","4","37","1"
"8839","F","HB","37","18","1"
"5076","F","COUPE","13","11","1"
"2556","F","SEDAN","41","41","5"
"6806","F","CNVTBL","30","18","3"
"8139","F","CNVTBL","23","8","1"
"1608","F","SPORTS","15","37","2"
"603","F","COUPE","42","28","4"
"579","F","COUPE","43","8","5"
"5924","F","SPORTS","12","49","4"
"1682","F","SPORTS","37","27","1"
"5786","F","HB","35","14","3"
"3304","F","CNVTBL","31","16","3"
"1487","F","HB","36","44","4"
"9637","F","SEDAN","35","38","1"
"9992","F","CNVTBL","14","49","3"
"7339","F","CNVTBL","11","14","2"
"2697","F","CNVTBL","8","23","5"
"161","F","SUV","40","44","2"
"7305","F","SEDAN","5","41","4"
"1576","F","CNVTBL","39","44","4"
"7458","F","CNVTBL","4","7","5"
"5188","F","CNVTBL","14","46","1"
"6988","F","SUV","29","37","1"
"7071","F","SPORTS","19","17","1"
"343","F","SEDAN","29","37","5"
"8578","F","CNVTBL","20","4","1"
"6580","F","HB","24","48","1"
"6907","F","COUPE","47","34","4"
"6128","F","SPORTS","15","21","1"
"473","F","SUV","9","23","1"
"5685","F","SUV","35","36","4"
"2221","F","COUPE","36","27","3"
"4551","F","HB","0","1","1"
"5430","F","HB","23","36","1"
"831","F","SEDAN","45","33","4"
"8022","F","COUPE","3","5","1"
"8486","F","SUV","6","10","1"
"3172","F","SPORTS","24","29","1"
"9592","F","SEDAN","10","22","5"
"6488","F","COUPE","41","13","3"
"391","F","SPORTS","34","37","2"
"9617","F","SEDAN","7","47","5"
"9382","F","HB","14","24","1"
"6861","F","CNVTBL","43","42","1"
"4868","F","SEDAN","13","43","2"
"3546","F","CNVTBL","8","27","3"
"6834","F","CNVTBL","13","11","3"
"4266","F","COUPE","1","8","4"
"3129","F","SPORTS","43","5","5"
"9223","F","CNVTBL","10","8","1"
"3713","F","HB","37","47","3"
"969","F","SEDAN","39","49","3"
"7692","F","SEDAN","23","35","1"
"3146","F","COUPE","9","49","3"
"3617","F","CNVTBL","37","47","2"
"9128","F","HB","4","25","1"
"7631","F","SUV","20","8","1"
"795","F","SPORTS","41","18","1"
"5893","F","CNVTBL","30","48","5"
"9063","F","CNVTBL","26","38","3"
"7453","F","SUV","26","17","4"
"5745","F","HB","17","29","3"
"3574","F","SPORTS","30","25","5"
"4965","F","HB","41","24","2"
"7213","F","SUV","41","28","4"
"4233","F","COUPE","10","33","5"
"6244","F","COUPE","38","12","4"
"2421","F","COUPE","44","15","1"
"308","S","SEDAN","25","48","1"
"6886","F","SEDAN","43","11","1"
