"MYCARNUMBER","MYCARTYPE","MYCARMODEL","MYLOCATIONX","MYLOCATIONY","PROBLEMCODE","ASSIGNEDCARNO","ASSIGNEDTYPE","ASSIGNEDMODEL","ASSIGNEDHASFUEL","ASSIGNEDSTEPNEY","ASSIGNEDTIMEAWAY"
"5893","F","CNVTBL","30","48","5","2403","S","SUV","25","1","30.658"
"3574","F","SPORTS","30","25","5","2233","S","COUPE","50","1","19.844"
"8225","F","COUPE","21","18","5","2382","S","COUPE","39","1","9.5313"
"4233","F","COUPE","10","33","5","8820","S","SEDAN","30","1","12.484"
"2556","F","SEDAN","41","41","5","5292","S","SPORTS","55","1","40.026"
"262","F","SUV","45","35","5","1165","S","COUPE","60","1","13.45"
"9135","F","SUV","37","48","2","6165","S","SUV","8","1","5.8101"
"602","F","CNVTBL","14","5","5","6923","S","CNVTBL","73","1","26.31"
"3620","F","SPORTS","47","48","1","1920","S","HB","91","1","48.791"
"6028","F","COUPE","2","44","5","911","S","HB","35","1","6.1154"
"9458","F","COUPE","23","7","5","879","S","HB","2","1","8.2711"
"2760","F","SEDAN","46","13","2","2504","S","SPORTS","62","1","23.822"
"7454","F","CNVTBL","24","41","2","3429","S","COUPE","94","1","49.921"
"1154","F","SUV","17","48","1","8711","S","CNVTBL","89","1","24.828"
"1049","F","HB","23","46","2","5149","S","COUPE","17","1","5.7297"
"5179","F","SUV","45","38","5","8162","S","SPORTS","43","1","39.979"
"2014","F","COUPE","31","41","1","698","S","SUV","93","1","11.084"
"2781","F","SEDAN","39","32","5","3907","S","HB","39","1","20.168"
"8603","F","HB","8","18","5","8854","S","CNVTBL","90","1","6.1125"
"3172","F","SPORTS","24","29","1","7189","S","CNVTBL","83","1","22.087"
"3275","F","SEDAN","15","48","5","2076","S","HB","41","1","10.459"
"116","F","COUPE","16","43","5","4980","S","SPORTS","18","1","17.629"
"2115","F","COUPE","42","1","5","4547","S","SUV","72","1","18.274"
"3156","F","SUV","22","26","5","6613","S","SPORTS","68","1","2.856"
"7901","F","HB","24","45","5","7514","S","SEDAN","93","1","46.455"
"254","F","COUPE","3","8","2","201","S","SEDAN","72","1","11.895"
"6863","F","SUV","11","48","5","8682","S","HB","93","1","14.713"
"4690","F","HB","16","25","1","5276","S","SEDAN","92","1","26.454"
"5771","F","HB","3","12","5","5447","S","HB","67","1","14.146"
"2367","F","CNVTBL","0","1","5","3598","S","HB","46","1","6.4858"
"856","F","SUV","24","46","5","9404","S","COUPE","26","1","5.7086"
"4845","F","SPORTS","3","9","5","2619","S","COUPE","51","1","20.243"
"3602","F","SEDAN","12","42","1","4988","S","COUPE","91","1","26.366"
"8027","F","SUV","42","42","1","9315","S","SUV","98","1","7.1693"
"2256","F","SPORTS","44","26","1","6514","S","SUV","96","1","10.295"
"8428","F","HB","17","1","5","6869","S","HB","38","1","12.049"
"7066","F","CNVTBL","1","23","5","1328","S","CNVTBL","12","1","12.57"
"890","F","COUPE","7","47","1","4170","S","SPORTS","83","1","38.361"
"1540","F","SPORTS","44","37","5","2703","S","SUV","80","1","1.6701"
"6027","F","SPORTS","38","35","5","3099","S","COUPE","90","1","4.1758"
"1006","F","SUV","2","34","5","2065","S","SEDAN","72","1","26.216"
"7817","F","SEDAN","19","29","2","6074","S","HB","23","1","43.596"
"9681","F","CNVTBL","40","46","5","1513","S","SPORTS","66","1","17.958"
"6513","F","HB","8","38","2","3522","S","SEDAN","10","1","8.3071"
"7476","F","COUPE","21","23","2","514","S","SPORTS","88","1","11.881"
"7334","F","HB","18","47","5","4010","S","HB","15","1","9.6002"
"5148","F","COUPE","29","26","1","6587","S","HB","93","1","29.124"
"7243","F","HB","31","40","2","9762","S","HB","26","1","1.9421"
"5029","F","SEDAN","28","14","1","1680","S","SEDAN","95","1","32.45"
"7516","F","SPORTS","9","4","2","7332","S","COUPE","69","1","37.975"
"3768","F","SPORTS","14","23","5","991","S","HB","80","1","2.0015"
"5580","F","SPORTS","15","43","2","3566","S","HB","2","1","16.239"
"8219","F","SUV","4","37","1","9684","S","SEDAN","94","1","23.027"
"579","F","COUPE","43","8","5","6146","S","SUV","94","1","15.718"
"8126","F","SUV","5","5","2","9250","S","HB","77","1","2.6713"
"6274","F","CNVTBL","31","46","1","6312","S","COUPE","89","1","5.1058"
"4393","F","CNVTBL","22","36","5","6182","S","SPORTS","68","1","5.0126"
"5386","F","CNVTBL","49","21","1","8713","S","CNVTBL","85","1","11.867"
"4454","F","CNVTBL","15","37","2","6743","S","HB","49","1","13.464"
"8358","F","SEDAN","2","15","2","9943","S","SUV","7","1","20.108"
"1551","F","CNVTBL","30","16","5","2550","S","HB","97","1","43.219"
"4999","F","SUV","16","7","5","1478","S","COUPE","93","1","31.235"
"4392","F","COUPE","47","26","5","8191","S","COUPE","72","1",".29047"
"8101","F","SUV","12","28","5","5731","S","SPORTS","79","1","17.511"
"546","F","COUPE","40","3","5","8401","S","SEDAN","73","1",".21625"
"4290","F","SUV","43","26","2","1776","S","SUV","44","1","36.6"
"2697","F","CNVTBL","8","23","5","3009","S","HB","76","1","20.527"
"7458","F","CNVTBL","4","7","5","1622","S","HB","78","1","2.3965"
"343","F","SEDAN","29","37","5","1076","S","CNVTBL","13","1","14.878"
"6580","F","HB","24","48","1","8501","S","SUV","82","1","36.529"
"473","F","SUV","9","23","1","7262","S","CNVTBL","87","1","49.107"
"5430","F","HB","23","36","1","3577","S","HB","95","1","15.327"
"8022","F","COUPE","3","5","1","4615","S","COUPE","81","1","20.227"
"1779","F","CNVTBL","39","29","2","9376","S","COUPE","37","1","4.4621"
"874","F","COUPE","38","16","5","3438","S","CNVTBL","9","1","1.1882"
"186","F","SPORTS","14","4","5","7311","S","CNVTBL","63","1","10.52"
"2046","F","SUV","42","0","1","9995","S","CNVTBL","87","1","44.707"
"8069","F","SPORTS","8","20","2","9919","S","SUV","40","1","1.5221"
"5074","F","CNVTBL","6","39","2","9209","S","HB","20","1","17.49"
"3553","F","CNVTBL","44","29","5","6451","S","SPORTS","16","1","2.6624"
"6890","F","CNVTBL","46","17","5","6072","S","CNVTBL","15","1","37.325"
"3068","F","COUPE","7","20","5","7324","S","CNVTBL","52","1","15.705"
"608","F","HB","48","36","5","3351","S","SPORTS","83","1","29.732"
"9047","F","COUPE","11","5","5","2321","S","COUPE","49","1","27.17"
"1062","F","SPORTS","8","21","5","8462","S","SUV","72","1","3.2121"
"6518","F","SUV","19","40","5","8339","S","COUPE","12","1","26.914"
"5039","F","COUPE","38","47","5","3910","S","HB","66","1","15.22"
"3489","F","SPORTS","30","5","5","6314","S","SEDAN","62","1","23.609"
"6732","F","SUV","21","30","5","7139","S","SUV","67","1","2.3247"
"1586","F","SPORTS","7","25","2","7211","S","COUPE","24","1",".49082"
"8332","F","SPORTS","11","35","5","577","S","CNVTBL","10","1","18.241"
"4898","F","SPORTS","28","48","2","4600","S","CNVTBL","77","1","14.667"
"631","F","CNVTBL","47","18","1","7117","S","SEDAN","98","1","14.677"
"9592","F","SEDAN","10","22","5","2508","S","SUV","14","1",".1839"
"391","F","SPORTS","34","37","2","219","S","SEDAN","95","1","31.562"
"9617","F","SEDAN","7","47","5","182","S","SEDAN","81","1","10.051"
"3643","F","SPORTS","37","4","1","1073","S","SEDAN","85","1","19.806"
"1921","F","SEDAN","1","19","5","8336","S","CNVTBL","37","1","13.44"
"1048","F","CNVTBL","9","5","2","3078","S","HB","72","1","8.0122"
"3528","F","SEDAN","10","34","2","6311","S","SEDAN","70","1","4.9043"
"3347","F","SUV","38","44","5","7502","S","SUV","92","1","2.8519"
"8750","F","SUV","32","15","1","8230","S","SUV","84","1","13.821"
"4518","F","SUV","15","48","5","870","S","SEDAN","72","1","2.3025"
"4980","F","CNVTBL","10","47","2","9826","S","SUV","7","1","4.6186"
"3768","F","HB","47","26","5","3200","S","CNVTBL","70","1","16.173"
"8886","F","COUPE","40","38","5","9394","S","SUV","84","1",".57133"
