"MYCARNUMBER","MYCARTYPE","MYCARMODEL","MYLOCATIONX","MYLOCATIONY","PROBLEMCODE","ASSIGNEDCARNO","ASSIGNEDTYPE","ASSIGNEDMODEL","ASSIGNEDHASFUEL","ASSIGNEDSTEPNEY","ASSIGNEDTIMEAWAY"
"5893","F","CNVTBL","30","48","5","2403","S","SUV","25","1","30.658"
"3574","F","SPORTS","30","25","5","2233","S","COUPE","50","1","19.844"
"8225","F","COUPE","21","18","5","2382","S","COUPE","39","1","9.5313"
"4233","F","COUPE","10","33","5","8820","S","SEDAN","30","1","12.484"
"2556","F","SEDAN","41","41","5","5292","S","SPORTS","55","1","40.026"
"262","F","SUV","45","35","5","1165","S","COUPE","60","1","13.45"
"9135","F","SUV","37","48","2","6165","S","SUV","8","1","5.8101"
"602","F","CNVTBL","14","5","5","6923","S","CNVTBL","73","1","26.31"
"3620","F","SPORTS","47","48","1","1920","S","HB","91","1","48.791"
"6028","F","COUPE","2","44","5","911","S","HB","35","1","6.1154"
"3172","F","SPORTS","24","29","1","7189","S","CNVTBL","83","1","22.087"
"3275","F","SEDAN","15","48","5","2076","S","HB","41","1","10.459"
"116","F","COUPE","16","43","5","4980","S","SPORTS","18","1","17.629"
"2115","F","COUPE","42","1","5","4547","S","SUV","72","1","18.274"
"3156","F","SUV","22","26","5","6613","S","SPORTS","68","1","2.856"
"7901","F","HB","24","45","5","7514","S","SEDAN","93","1","46.455"
"254","F","COUPE","3","8","2","201","S","SEDAN","72","1","11.895"
"6863","F","SUV","11","48","5","8682","S","HB","93","1","14.713"
"4690","F","HB","16","25","1","5276","S","SEDAN","92","1","26.454"
"5771","F","HB","3","12","5","5447","S","HB","67","1","14.146"
"2367","F","CNVTBL","0","1","5","3598","S","HB","46","1","6.4858"
"856","F","SUV","24","46","5","9404","S","COUPE","26","1","5.7086"
"4845","F","SPORTS","3","9","5","2619","S","COUPE","51","1","20.243"
"3602","F","SEDAN","12","42","1","4988","S","COUPE","91","1","26.366"
"8027","F","SUV","42","42","1","9315","S","SUV","98","1","7.1693"
"2256","F","SPORTS","44","26","1","6514","S","SUV","96","1","10.295"
"8428","F","HB","17","1","5","6869","S","HB","38","1","12.049"
"7066","F","CNVTBL","1","23","5","1328","S","CNVTBL","12","1","12.57"
"890","F","COUPE","7","47","1","4170","S","SPORTS","83","1","38.361"
"1540","F","SPORTS","44","37","5","2703","S","SUV","80","1","1.6701"
"8219","F","SUV","4","37","1","9684","S","SEDAN","94","1","23.027"
"579","F","COUPE","43","8","5","6146","S","SUV","94","1","15.718"
"8126","F","SUV","5","5","2","9250","S","HB","77","1","2.6713"
"6274","F","CNVTBL","31","46","1","6312","S","COUPE","89","1","5.1058"
"4393","F","CNVTBL","22","36","5","6182","S","SPORTS","68","1","5.0126"
"5386","F","CNVTBL","49","21","1","8713","S","CNVTBL","85","1","11.867"
"2697","F","CNVTBL","8","23","5","3009","S","HB","76","1","20.527"
"7458","F","CNVTBL","4","7","5","1622","S","HB","78","1","2.3965"
"343","F","SEDAN","29","37","5","1076","S","CNVTBL","13","1","14.878"
"6580","F","HB","24","48","1","8501","S","SUV","82","1","36.529"
"473","F","SUV","9","23","1","7262","S","CNVTBL","87","1","49.107"
"5430","F","HB","23","36","1","3577","S","HB","95","1","15.327"
"8022","F","COUPE","3","5","1","4615","S","COUPE","81","1","20.227"
"1779","F","CNVTBL","39","29","2","9376","S","COUPE","37","1","4.4621"
"874","F","COUPE","38","16","5","3438","S","CNVTBL","9","1","1.1882"
"186","F","SPORTS","14","4","5","7311","S","CNVTBL","63","1","10.52"
"2046","F","SUV","42","0","1","9995","S","CNVTBL","87","1","44.707"
"8069","F","SPORTS","8","20","2","9919","S","SUV","40","1","1.5221"
"5074","F","CNVTBL","6","39","2","9209","S","HB","20","1","17.49"
"3553","F","CNVTBL","44","29","5","6451","S","SPORTS","16","1","2.6624"
"6890","F","CNVTBL","46","17","5","6072","S","CNVTBL","15","1","37.325"
"9592","F","SEDAN","10","22","5","2508","S","SUV","14","1",".1839"
"391","F","SPORTS","34","37","2","219","S","SEDAN","95","1","31.562"
"9617","F","SEDAN","7","47","5","182","S","SEDAN","81","1","10.051"
"3643","F","SPORTS","37","4","1","1073","S","SEDAN","85","1","19.806"
"1921","F","SEDAN","1","19","5","8336","S","CNVTBL","37","1","13.44"
"1048","F","CNVTBL","9","5","2","3078","S","HB","72","1","8.0122"
"3528","F","SEDAN","10","34","2","6311","S","SEDAN","70","1","4.9043"
