"MYCARNUMBER","MYCARTYPE","MYCARMODEL","MYLOCATIONX","MYLOCATIONY","PROBLEMCODE","ASSIGNEDCARNO","ASSIGNEDTYPE","ASSIGNEDMODEL","ASSIGNEDHASFUEL","ASSIGNEDSTEPNEY","ASSIGNEDTIMEAWAY"
"8839","F","HB","37","18","1","6343","F","COUPE","95","1","11.359"
"8139","F","CNVTBL","23","8","1","4510","F","COUPE","81","1","47.751"
"2421","F","COUPE","44","15","1","7629","F","HB","92","1","49.686"
"6886","F","SEDAN","43","11","1","1438","F","SUV","97","0","22.157"
"6581","F","COUPE","14","24","2","6300","F","COUPE","98","1","44.083"
"7152","F","HB","9","46","1","2183","F","SPORTS","89","0","40.545"
"5023","F","SPORTS","40","7","1","8115","F","CNVTBL","90","1","5.9578"
"786","F","SPORTS","1","14","1","1494","F","HB","94","1","12.711"
"2971","F","SEDAN","19","46","1","7182","F","SEDAN","98","1","13.011"
"7990","F","CNVTBL","2","24","2","2421","F","CNVTBL","65","1","35.223"
"3845","F","SUV","5","39","2","7442","F","SUV","48","1","13.582"
"476","F","HB","49","8","1","5882","F","SEDAN","92","1","29.245"
"5563","F","HB","17","48","1","7721","F","COUPE","93","1","33.313"
"9175","F","COUPE","0","16","1","2679","F","CNVTBL","85","1","31.417"
"2644","F","HB","18","45","2","3957","F","HB","70","1","33.929"
"4868","F","SEDAN","13","43","2","6646","F","SEDAN","39","1","25.761"
"5426","F","SUV","19","8","1","6140","F","SPORTS","85","1","32.566"
"8392","F","HB","5","10","2","4415","F","HB","87","1","41.628"
"9223","F","CNVTBL","10","8","1","4351","F","HB","99","1","29.181"
"7618","F","CNVTBL","24","5","1","2549","F","SPORTS","86","0","16.195"
"3756","F","HB","41","40","1","2230","F","COUPE","89","0","6.6063"
"6278","F","CNVTBL","8","2","1","8476","F","HB","98","1","18.054"
"9714","F","SPORTS","27","9","1","404","F","COUPE","85","1","7.4436"
"968","F","COUPE","48","40","1","5744","F","SEDAN","81","0","24.551"
"2972","F","CNVTBL","12","2","2","8788","F","CNVTBL","20","1","6.5396"
"1254","F","HB","49","40","2","1544","F","HB","23","1","44.729"
"7150","F","COUPE","22","48","2","2733","F","COUPE","7","1","2.9794"
"1370","S","SPORTS","10","45","2","1002","F","SPORTS","30","1","40.093"
"5008","F","SPORTS","20","4","1","1093","F","COUPE","95","1","41.791"
"4474","F","HB","17","45","1","848","F","SEDAN","98","1","18.81"
"4780","F","COUPE","7","20","1","899","F","CNVTBL","83","1","36.169"
"2007","F","SPORTS","36","14","2","3374","F","SPORTS","17","1","44.722"
"9432","F","HB","44","8","1","1721","F","SEDAN","89","1","7.1926"
"8623","F","SUV","17","1","1","1313","F","HB","98","1","1.57"
"1389","F","SEDAN","19","17","2","5495","F","SEDAN","7","1","30.256"
"5076","F","COUPE","13","11","1","1553","F","SUV","91","0","11.346"
"1608","F","SPORTS","15","37","2","6981","F","SPORTS","53","1",".19297"
"3302","F","SPORTS","49","28","1","4983","F","SUV","92","1","39.285"
"5523","F","SPORTS","14","34","2","644","F","SPORTS","47","1","18.691"
"9521","F","CNVTBL","27","32","2","1495","F","CNVTBL","19","1","36.467"
"189","F","CNVTBL","45","39","1","1782","F","COUPE","81","0","1.8638"
"1227","F","HB","29","21","1","274","F","COUPE","88","0","46.932"
"735","F","SPORTS","47","9","2","3116","F","SPORTS","91","1","36.232"
"5634","F","HB","39","44","1","8600","F","CNVTBL","84","1","22.859"
"9637","F","SEDAN","35","38","1","5769","F","HB","95","1","33.453"
"7339","F","CNVTBL","11","14","2","3080","F","CNVTBL","59","1","17.225"
"161","F","SUV","40","44","2","4281","F","SUV","15","1","15.325"
"5188","F","CNVTBL","14","46","1","7471","F","HB","89","0","2.5866"
"8578","F","CNVTBL","20","4","1","4882","F","CNVTBL","96","0","17.088"
"6128","F","SPORTS","15","21","1","8607","F","SEDAN","92","1","12.631"
"8486","F","SUV","6","10","1","5830","F","SUV","82","1","37.477"
"9922","F","SUV","39","0","2","4341","F","SUV","53","1","8.3289"
"5182","F","CNVTBL","49","45","1","1009","F","SEDAN","89","0","41.824"
"2580","F","HB","21","11","2","5458","F","HB","65","1","17.597"
"1714","F","SUV","30","42","1","7753","F","SEDAN","86","0","19.171"
"3861","F","COUPE","29","4","1","1470","F","COUPE","95","1","18.404"
"1199","F","COUPE","11","21","1","3435","F","HB","81","1","12.767"
"1152","F","SEDAN","6","15","1","4106","F","SPORTS","84","1","23.974"
"9930","F","SEDAN","38","5","1","9563","F","HB","90","0","20.7"
"5127","F","SUV","47","33","1","5458","F","SEDAN","90","0","7.9371"
"2615","F","CNVTBL","9","1","1","4699","F","SUV","94","1","10.423"
"5981","F","CNVTBL","26","7","1","4290","F","SUV","84","1","30.326"
"2616","F","SEDAN","22","33","2","741","F","SEDAN","97","1","15.502"
"8479","F","CNVTBL","45","16","2","6821","F","CNVTBL","60","1","31.786"
"7692","F","SEDAN","23","35","1","7274","F","SEDAN","97","1","33.59"
"3617","F","CNVTBL","37","47","2","5396","F","CNVTBL","15","1","11.514"
"7631","F","SUV","20","8","1","5833","F","SEDAN","95","1","14.702"
