"MYCARNUMBER","MYCARTYPE","MYCARMODEL","MYLOCATIONX","MYLOCATIONY","PROBLEMCODE"
"3275","F","SEDAN","15","48","5"
"4702","F","CNVTBL","24","4","4"
"412","F","COUPE","39","28","5"
"1589","F","HB","19","22","4"
"1600","F","HB","10","32","3"
"116","F","COUPE","16","43","5"
"6466","F","SUV","24","18","4"
"2115","F","COUPE","42","1","5"
"3457","F","SUV","21","7","3"
"5426","F","SUV","19","8","1"
"8392","F","HB","5","10","2"
"5022","F","SPORTS","37","4","4"
"3156","F","SUV","22","26","5"
"2042","F","COUPE","24","2","4"
"7901","F","HB","24","45","5"
"1356","F","CNVTBL","29","43","1"
"254","F","COUPE","3","8","2"
"9497","F","SUV","21","36","4"
"7618","F","CNVTBL","24","5","1"
"9264","F","COUPE","29","7","4"
"3756","F","HB","41","40","1"
"9714","F","SPORTS","27","9","1"
"968","F","COUPE","48","40","1"
"8372","F","SPORTS","27","33","4"
"2065","F","SPORTS","35","30","4"
"4690","F","HB","16","25","1"
"5771","F","HB","3","12","5"
"2972","F","CNVTBL","12","2","2"
"2367","F","CNVTBL","0","1","5"
"856","F","SUV","24","46","5"
"4845","F","SPORTS","3","9","5"
"3602","F","SEDAN","12","42","1"
"1254","F","HB","49","40","2"
"2256","F","SPORTS","44","26","1"
"8428","F","HB","17","1","5"
"7066","F","CNVTBL","1","23","5"
"7150","F","COUPE","22","48","2"
"5157","F","HB","27","45","4"
"70","F","SEDAN","39","33","3"
"890","F","COUPE","7","47","1"
"1540","F","SPORTS","44","37","5"
"1370","S","SPORTS","10","45","2"
"2196","F","HB","33","10","3"
"6027","F","SPORTS","38","35","5"
"5008","F","SPORTS","20","4","1"
"9982","F","COUPE","20","0","1"
"3384","F","CNVTBL","8","46","3"
"1006","F","SUV","2","34","5"
"364","F","SEDAN","26","41","4"
"4474","F","HB","17","45","1"
"4780","F","COUPE","7","20","1"
"2007","F","SPORTS","36","14","2"
"7817","F","SEDAN","19","29","2"
"9432","F","HB","44","8","1"
"9681","F","CNVTBL","40","46","5"
"6513","F","HB","8","38","2"
"8623","F","SUV","17","1","1"
"7476","F","COUPE","21","23","2"
"1389","F","SEDAN","19","17","2"
"8849","F","HB","6","38","4"
"1011","F","SPORTS","27","8","3"
"3141","F","SPORTS","42","25","2"
"4004","F","COUPE","5","43","4"
"1677","F","CNVTBL","1","21","4"
"5148","F","COUPE","29","26","1"
"7336","F","SPORTS","33","0","1"
"7243","F","HB","31","40","2"
"4532","F","HB","6","25","1"
"129","F","SUV","31","4","4"
"5029","F","SEDAN","28","14","1"
"7516","F","SPORTS","9","4","2"
"4090","F","SEDAN","24","28","4"
"8350","F","SEDAN","6","14","4"
"6307","F","HB","2","12","4"
"3768","F","SPORTS","14","23","5"
"8564","F","SUV","29","40","3"
"4227","F","SUV","40","36","3"
"5580","F","SPORTS","15","43","2"
"8608","F","CNVTBL","39","35","2"
"5852","F","SEDAN","17","32","3"
"6868","F","SUV","44","22","2"
"4468","F","SPORTS","30","25","1"
"4249","F","HB","30","38","2"
"9751","F","HB","18","26","3"
"6647","F","SEDAN","37","20","3"
"1988","F","SPORTS","16","31","5"
"3218","F","CNVTBL","12","11","5"
"9489","F","CNVTBL","47","40","1"
"1382","F","SUV","27","0","3"
"1693","F","SPORTS","0","42","5"
"7329","F","COUPE","14","18","3"
"2932","F","SEDAN","14","17","2"
"5534","F","SPORTS","34","25","1"
"9209","F","SUV","6","28","2"
"1587","F","HB","36","20","2"
