Dept,JobDate,jobno,Vehicleid,UnitNo,Reason,Notes,CostParts,CostLabor,CostTotal,
1020,01-06-2015 00:00,14073,118743,14,04    DRIVER'S REPORT,"PM SERVICE, CHECK TURN SIGNAL, 
CLUNKING NOISE WHEN DRIVING",493.85,0,493.85,1
1020,1/14/2015 0:00,14232,230973,13,08    PM SERVICE              ***,"SERVICEROB,EXT,5604",38.87,0,38.87,2
2111,01-02-2015 00:00,14006,1243,116,04    DRIVER'S REPORT,NEED 4 PLOW PINS,45,0,45,2
2111,01-02-2015 00:00,14140,B39109      ,178,04    DRIVER'S REPORT,INSTALL SPINNER ASSY,0,0,0,2
2111,01-03-2015 00:00,14163,574950,215,13    SNOW BREAKDOWN,DONT START,0,0,0,2
2111,01-05-2015 00:00,14169,A00413      ,283,04    DRIVER'S REPORT,DOG BONE PIN BROKEN,20,0,20,1
2111,01-06-2015 00:00,14000,766153,248,08    PM SERVICE              ***,"NEED SERVICE, CHECK BRAKES",387.17,0,387.17,1
2111,01-06-2015 00:00,14155,525670,232,04    DRIVER'S REPORT,HYD CAP CHECK ENGINE LIGHT ON,12.95,0,12.95,2
2111,01-06-2015 00:00,14157,621909,213,40    NEGLIGENCE,"TARP VALVE STICKINGRIGHT SIDE MIRROR 
BRACKET BROKEN",50.02,0,50.02,1
2111,01-06-2015 00:00,14164,1226,117,13    SNOW BREAKDOWN,HANDLES IN CAB LOOSE,0,0,0,2
2111,01-06-2015 00:00,14165,525999,114,04    DRIVER'S REPORT,NO PLOW LIGHTS,0,0,0,2
2111,01-06-2015 00:00,14172,B34632      ,276,10    ROADCALL,WILL NOT START,0,0,0,2
2111,01-06-2015 00:00,14174,1469,122,10    ROADCALL,WILL NOT START,0,0,0,2
2111,01-06-2015 00:00,14175,68932,147,10    ROADCALL,WILL NOT START,0,0,0,2
2111,01-06-2015 00:00,14176,68933,148,10    ROADCALL,WILL NOT START,0,0,0,2
2111,01-06-2015 00:00,14177,621907,208,10    ROADCALL,WILL NOT START,0,0,0,2
2111,01-06-2015 00:00,14181,337657,218,04    DRIVER'S REPORT,CONVEORY NOT WORKING,0,0,0,1
